West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Ah Chee, Brendon",3,1,10,13,,,,,,2.0,,2.0,,1.0,,8.0,4.0,,,1.0,,1.0,67.0
33,"Ainsworth, Brayden",7,7,5,12,,,,,,2.0,,,,,,1.0,10.0,,,1.0,,,74.0
12,"Allen, Oscar",8,5,3,11,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,5.0,7.0,1.0,,4.0,,,81.0
37,"Barrass, Tom",11,10,2,13,,,,,2.0,1.0,,,,,,4.0,9.0,2.0,,8.0,,1.0,93.0
39,"Cameron, Jarrod",5,1,,5,1,,,3.0,,,,1.0,1.0,1.0,,4.0,2.0,,,,1.0,,62.0
28,"Cole, Tom",8,4,5,13,,,,3.0,3.0,1.0,,2.0,1.0,1.0,,6.0,7.0,,,2.0,,,79.0
15,"Cripps, Jamie",6,2,3,9,,1.0,,4.0,,2.0,1.0,,,,,3.0,7.0,,,1.0,,,91.0
27,"Darling, Jack",6,3,2,8,2,,1.0,4.0,,1.0,1.0,1.0,2.0,,,7.0,4.0,1.0,,5.0,,,87.0
14,"Duggan, Liam",16,8,3,19,,,,,2.0,2.0,,1.0,,,,3.0,16.0,,,2.0,,,87.0
3,"Gaff, Andrew",15,4,9,24,,1.0,,1.0,1.0,5.0,2.0,1.0,,,1.0,5.0,20.0,,,2.0,3.0,,100.0
25,"Hurn, Shannon",14,10,3,17,,,,2.0,2.0,,,1.0,,,,1.0,13.0,,,2.0,,,78.0
11,"Kelly, Tim",9,3,9,18,,,,6.0,2.0,5.0,5.0,2.0,1.0,1.0,,11.0,9.0,,,1.0,,,86.0
17,"Kennedy, Josh",9,6,2,11,4,4.0,,,,,,,1.0,,3.0,6.0,5.0,4.0,5.0,2.0,,,93.0
20,"McGovern, Jeremy",10,7,4,14,,,,2.0,2.0,1.0,,2.0,,1.0,,3.0,11.0,1.0,,4.0,,,87.0
9,"Naitanui, Nic",4,,5,9,,,22.0,5.0,,2.0,6.0,1.0,2.0,,,6.0,3.0,,,5.0,,,67.0
30,"Nelson, Jackson",15,8,8,23,,,,2.0,2.0,2.0,,2.0,1.0,1.0,,7.0,17.0,,,2.0,,,82.0
8,"Redden, Jack",9,5,12,21,,,,3.0,,3.0,1.0,,,,,9.0,14.0,1.0,,4.0,,,85.0
1,"Ryan, Liam",8,2,1,9,,,,1.0,1.0,1.0,1.0,4.0,1.0,,,5.0,4.0,1.0,,2.0,,1.0,81.0
4,"Sheed, Dom",7,3,11,18,,,,3.0,,3.0,4.0,3.0,2.0,2.0,,9.0,10.0,,,,1.0,,76.0
5,"Sheppard, Brad",18,10,5,23,,,,,3.0,1.0,,,,,,,22.0,,,2.0,,,94.0
2,"Waterman, Jake",13,10,2,15,2,,,,,3.0,,2.0,,,,4.0,9.0,2.0,2.0,1.0,,1.0,72.0
6,"Yeo, Elliot",9,2,11,20,,,,6.0,,3.0,7.0,5.0,,4.0,2.0,14.0,6.0,1.0,,1.0,,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,111,115,325,9,8.0,25.0,47.0,21.0,41.0,28.0,31.0,13.0,13.0,6.0,121.0,209.0,14.0,7.0,52.0,5.0,4.0,
Opposition,Opposition,154,68,124,278,5,2.0,22.0,45.0,31.0,26.0,23.0,41.0,13.0,13.0,,113.0,168.0,10.0,6.0,43.0,2.0,4.0,
