Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",12,1,8,20,1,,,1.0,,,,,,2.0,,,,,,,,,
22,"Bamford, Scott",16,2,3,19,,1.0,,,,,,,1.0,3.0,,,,,,,,,
5,"Barker, John",10,4,3,13,,,,2.0,,,,,1.0,1.0,,,,,,,,,
1,"Boyd, Brad",2,,,2,,,,1.0,,,,,,,,,,,,,,,
30,"Carter, Nick",21,5,4,25,1,,,,,,,,1.0,,,,,,,,,,
29,"Cassidy, Brad",4,4,4,8,1,,,,,,,,,1.0,,,,,,,,,
27,"Chandler, Brett",6,1,4,10,,,,1.0,,,,,,1.0,,,,,,,,,
40,"Clayton, Shane",8,2,2,10,,,,1.0,,,,,3.0,3.0,,,,,,,,,
24,"Cummings, Trent",9,6,6,15,1,2.0,,,,,,,,2.0,,,,,,,,,
31,"Dent, Matthew",3,2,4,7,,,,,,,,,,,,,,,,,,,
10,"Hogg, Jeff",,,1,1,,,,1.0,,,,,,,,,,,,,,,
2,"Johnson, Chris",12,3,2,14,1,,,4.0,,,,,2.0,2.0,,,,,,,,,
25,"McCarthy, John",9,5,5,14,,,1.0,,,,,,,1.0,,,,,,,,,
3,"Mellington, Anthony",4,2,1,5,1,1.0,,,,,,,,2.0,,,,,,,,,
7,"Molloy, Jarrod",11,7,5,16,,,,1.0,,,,,,3.0,,,,,,,,,
34,"Morton, Danny",7,,6,13,1,,,2.0,,,,,1.0,,,,,,,,,,
4,"Paxman, Stephen",5,2,7,12,,,,,,,,,2.0,,,,,,,,,,
8,"Pike, Martin",17,4,1,18,1,1.0,,,,,,,2.0,1.0,,,,,,,,,
12,"Primus, Matthew",11,2,3,14,,1.0,29.0,2.0,,,,,1.0,9.0,,,,,,,,,
37,"Rombotis, John",4,1,6,10,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
33,"Warfe, Rowan",4,1,8,12,,,,6.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,175,54,83,258,9,9.0,30.0,24.0,,,,,15.0,32.0,,,,,,,,,
Opposition,Opposition,222,85,122,344,20,11.0,28.0,40.0,,,,,32.0,15.0,6.0,,,,,,,,
