Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Bontempelli, Marcus",13,3,11,24,1,,,10.0,3.0,10.0,4.0,6.0,1.0,4.0,1.0,10.0,15.0,,1.0,5.0,,1.0,87.0
29,"Bramble, Lachlan",14,3,5,19,,,,1.0,3.0,4.0,,1.0,1.0,,,6.0,10.0,,1.0,2.0,,1.0,78.0
36,"Cleary, Luke",10,3,6,16,,,,4.0,6.0,,1.0,,1.0,,,4.0,11.0,,,3.0,,,72.0
31,"Dale, Bailey",25,8,8,33,,1.0,,3.0,11.0,3.0,4.0,8.0,,,,9.0,17.0,1.0,,1.0,,,90.0
10,"Darcy, Sam",9,5,4,13,1,,5.0,2.0,,3.0,2.0,,5.0,,,10.0,3.0,3.0,1.0,1.0,,1.0,81.0
42,"Davidson, Sam",4,1,3,7,,,,4.0,,1.0,2.0,3.0,,1.0,,4.0,4.0,,,,,,66.0
44,"English, Tim",5,5,5,10,1,,34.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,7.0,,1.0,2.0,,,87.0
27,"Freijah, Joel",8,3,6,14,1,,,6.0,1.0,1.0,2.0,4.0,,1.0,,8.0,8.0,,,4.0,,,82.0
38,"Garcia, Riley",7,1,7,14,1,,,3.0,,3.0,2.0,2.0,2.0,2.0,,3.0,11.0,,,,,,70.0
39,"Johannisen, Jason",13,4,4,17,,,,2.0,8.0,1.0,2.0,2.0,,,,7.0,9.0,1.0,,1.0,,,79.0
19,"Jones, Liam",4,3,2,6,,,,2.0,2.0,1.0,,1.0,,1.0,,4.0,2.0,1.0,,4.0,,,91.0
8,"Kennedy, Matthew",10,3,11,21,1,,,9.0,2.0,2.0,4.0,,1.0,,,13.0,10.0,,2.0,1.0,,,82.0
21,"Liberatore, Tom",12,1,11,23,,,,10.0,1.0,4.0,9.0,8.0,2.0,2.0,,16.0,7.0,,,4.0,,,82.0
7,"Lobb, Rory",7,4,5,12,,,,,5.0,,2.0,,1.0,,,6.0,4.0,1.0,,5.0,,,100.0
30,"McNeil, Lachlan",,1,7,7,,,,3.0,,,,,,,,5.0,2.0,,,1.0,,,61.0
33,"Naughton, Aaron",10,6,,10,2,1.0,,4.0,,1.0,,2.0,3.0,,,5.0,7.0,1.0,3.0,1.0,,,90.0
18,"ODonnell, James",4,2,4,8,,,,4.0,3.0,,1.0,2.0,,1.0,,3.0,4.0,1.0,,3.0,,,84.0
25 ↑,"Poulter, Caleb",1,1,,1,,,,2.0,,,,,,,,,1.0,,,,,,22.0
20,"Richards, Ed",16,1,11,27,,,,1.0,2.0,4.0,7.0,7.0,1.0,2.0,,10.0,16.0,,,,3.0,1.0,85.0
9,"Sanders, Ryley",7,2,13,20,,,,2.0,2.0,,1.0,2.0,,1.0,,11.0,9.0,,,1.0,1.0,,85.0
23 ↓,"Vandermeer, Laitham",4,3,1,5,,,,,,,,,1.0,,,2.0,3.0,,1.0,2.0,,,53.0
14,"West, Rhylee",12,4,2,14,4,,,4.0,,3.0,,3.0,,,,6.0,8.0,1.0,1.0,,,,85.0
34,"Williams, Bailey",11,7,7,18,,,,,2.0,2.0,2.0,2.0,,,,5.0,14.0,1.0,1.0,1.0,,1.0,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,74,133,339,12,4.0,39.0,82.0,52.0,44.0,46.0,54.0,20.0,16.0,1.0,150.0,182.0,11.0,12.0,42.0,4.0,5.0,
Opposition,Opposition,226,86,138,364,12,14.0,55.0,73.0,30.0,64.0,36.0,62.0,16.0,20.0,5.0,166.0,200.0,9.0,12.0,60.0,,9.0,
