North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",28y 89d,171 (91-1-79 53.51%),199 (1.16),←,
5,"Anderson, Stuart",22y 57d,38 (27-0-11 71.05%),10 (0.26),←,
14,"Armstrong, Matt",29y 175d,174 (80-0-94 45.98%),89 (0.51),42 (28-0-14 66.67%),18 (0.43)
26,"Bell, Peter",20y 175d,21 (13-0-8 61.90%),24 (1.14),19 (13-0-6 68.42%),22 (1.16)
12,"Blakey, John",30y 30d,221 (106-0-115 47.96%),69 (0.31),86 (54-0-32 62.79%),31 (0.36)
16,"Capuano, Mathew",20y 356d,32 (21-0-11 65.63%),11 (0.34),←,
18,"Carey, Wayne",25y 88d,144 (85-0-59 59.03%),376 (2.61),←,
25,"Daniltchenko, Jason",20y 356d,26 (17-0-9 65.38%),17 (0.65),←,
6,"Fairley, Ian",31y 340d,213 (112-2-99 53.05%),148 (0.69),←,
34,"King, David",24y 169d,62 (40-0-22 64.52%),16 (0.26),←,
7,"Laidley, Dani",29y 149d,136 (82-1-53 60.66%),14 (0.10),84 (53-0-31 63.10%),3 (0.04)
4,"Martyn, Mick",27y 358d,172 (94-1-77 54.94%),14 (0.08),←,
31,"McKernan, Corey",22y 248d,67 (45-0-22 67.16%),72 (1.07),←,
22,"Roberts, Mark",31y 56d,160 (78-0-82 48.75%),131 (0.82),83 (52-0-31 62.65%),112 (1.35)
3,"Rock, Anthony",25y 329d,133 (79-0-54 59.40%),111 (0.83),←,
2,"Schwass, Wayne",27y 270d,160 (86-0-74 53.75%),89 (0.56),←,
8,"Scott, Robert",27y 175d,177 (105-1-71 59.60%),191 (1.08),45 (30-0-15 66.67%),27 (0.60)
24,"Sholl, Craig",28y 237d,147 (83-0-64 56.46%),45 (0.31),←,
37,"Simpson, Adam",20y 189d,23 (17-0-6 73.91%),14 (0.61),←,
10,"Stevens, Anthony",25y 52d,127 (74-0-53 58.27%),62 (0.49),←,
38,"Stevens, Danny",19y 287d,1 (0-0-1 0.00%),1 (1.00),←,
Totals,Totals,25y 269d,2405 (1335-6-1064 55.51%),1703 (0.71),,
C,"Pagan, Denis",48y 334d,91 (58-0-33 63.74%),,←,
