Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Jeremy",13,3,1,14,2,4.0,,2.0,1.0,2.0,3.0,3.0,1.0,,,7.0,6.0,,3.0,,,1.0,85.0
3,"Coniglio, Stephen",19,5,15,34,,,,11.0,3.0,5.0,9.0,5.0,,1.0,1.0,20.0,16.0,,,4.0,1.0,1.0,89.0
16,"Daniels, Brent",7,4,5,12,,,,4.0,,2.0,,2.0,1.0,,,4.0,8.0,,1.0,,,,65.0
1,"Davis, Phil",13,10,6,19,,,,1.0,1.0,1.0,,2.0,3.0,,,7.0,13.0,1.0,,8.0,,,91.0
7,"Deledio, Brett",15,8,11,26,,1.0,,3.0,3.0,6.0,2.0,3.0,,1.0,,8.0,19.0,,1.0,1.0,,2.0,88.0
31,"Finlayson, Jeremy",2,,3,5,1,,3.0,,,1.0,,3.0,,2.0,,3.0,2.0,,,1.0,,1.0,80.0
4,"Greene, Toby",10,6,6,16,3,,,1.0,,3.0,1.0,3.0,,1.0,,4.0,11.0,1.0,2.0,1.0,,,87.0
9,"Hately, Jackson",6,3,9,15,,,,2.0,,2.0,1.0,2.0,,2.0,,3.0,13.0,1.0,,,,,77.0
19,"Haynes, Nick",9,8,5,14,,,,,1.0,,,,,,,3.0,11.0,1.0,,4.0,,,89.0
27,"Himmelberg, Harry",5,4,9,14,4,,,7.0,1.0,1.0,,1.0,1.0,,,8.0,6.0,2.0,2.0,2.0,,2.0,94.0
2,"Hopper, Jacob",16,4,12,28,,,,7.0,1.0,3.0,9.0,6.0,3.0,3.0,,17.0,11.0,,,,,,79.0
22,"Kelly, Josh",12,1,14,26,,1.0,,5.0,3.0,4.0,6.0,1.0,1.0,,,13.0,14.0,,,,,,67.0
40,"Kennedy, Adam",10,6,12,22,,,,2.0,2.0,2.0,1.0,1.0,1.0,,,3.0,19.0,,,1.0,,,82.0
17,"Langdon, Zac",5,1,2,7,,,,5.0,1.0,4.0,,2.0,,1.0,,3.0,4.0,,,1.0,,,66.0
36,"Perryman, Harry",11,3,9,20,,,,4.0,2.0,1.0,1.0,3.0,,1.0,,7.0,14.0,,,,,,84.0
50,"Reid, Sam",4,4,9,13,,,,3.0,1.0,1.0,2.0,4.0,,2.0,,8.0,6.0,1.0,1.0,1.0,,,77.0
23,"Shaw, Heath",11,3,2,13,,,,3.0,4.0,1.0,1.0,4.0,1.0,2.0,,5.0,6.0,1.0,,5.0,3.0,,93.0
26,"Simpson, Dawson",2,,9,11,,,44.0,4.0,3.0,3.0,5.0,,2.0,,,10.0,1.0,,,1.0,,,76.0
14,"Taranto, Tim",17,2,5,22,,,,7.0,3.0,5.0,9.0,3.0,1.0,1.0,,11.0,11.0,,,,,,75.0
15,"Taylor, Sam",9,3,4,13,,,,3.0,3.0,2.0,,1.0,1.0,,,4.0,7.0,1.0,,4.0,,,86.0
20,"Tomlinson, Adam",9,7,7,16,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,6.0,10.0,1.0,,,,,88.0
29,"Williams, Zac",21,7,7,28,1,,,4.0,1.0,8.0,3.0,2.0,,,,6.0,18.0,,,1.0,1.0,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,92,162,388,11,8.0,48.0,79.0,35.0,58.0,55.0,52.0,16.0,17.0,1.0,160.0,226.0,10.0,10.0,35.0,5.0,7.0,
Opposition,Opposition,239,94,108,347,14,10.0,57.0,80.0,44.0,48.0,43.0,55.0,17.0,16.0,5.0,135.0,195.0,10.0,10.0,47.0,5.0,5.0,
