Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Akermanis, Jason",17,7,3,20,1,,,1.0,,,,,3.0,2.0,2.0,,,,,,,,
10,"Ashcroft, Marcus",14,5,12,26,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
17,"Bartlett, Trent",2,1,1,3,,,,,,,,,1.0,,,,,,,,,,
25,"Bews, Andrew",15,4,7,22,,,,5.0,,,,,4.0,,,,,,,,,,
1,"Champion, Richard",12,3,3,15,,,,,,,,,,,,,,,,,,,
16,"Clarke, Matthew",5,2,,5,,,12.0,2.0,,,,,1.0,2.0,,,,,,,,,
12,"Clarke, Troy",4,,8,12,,1.0,,4.0,,,,,1.0,,,,,,,,,,
6,"Fletcher, Adrian",14,4,14,28,1,2.0,,1.0,,,,,2.0,5.0,3.0,,,,,,,,
8,"Gowers, Andrew",6,5,6,12,,,1.0,3.0,,,,,1.0,1.0,,,,,,,,,
27,"Keating, Clark",9,6,3,12,,,6.0,1.0,,,,,1.0,1.0,,,,,,,,,
41,"Kennedy, Matthew",15,6,2,17,1,,,,,,,,2.0,2.0,,,,,,,,,
44,"Lappin, Nigel",15,4,2,17,,1.0,,,,,,,,,,,,,,,,,
11,"Lynch, Alastair",13,6,2,15,5,2.0,,,,,,,1.0,1.0,,,,,,,,,
2,"McAdam, Gilbert",11,6,10,21,,,,1.0,,,,,,,,,,,,,,,
7,"McIvor, Scott",9,5,2,11,,,,1.0,,,,,1.0,,,,,,,,,,
4,"McRae, Craig",16,5,6,22,6,3.0,,1.0,,,,,1.0,,1.0,,,,,,,,
24,"Merrett, Roger",6,3,1,7,,1.0,,,,,,,,,,,,,,,,,
28,"Robbins, Ben",6,1,5,11,1,1.0,,3.0,,,,,1.0,,,,,,,,,,
22,"Scott, Chris",12,2,7,19,,1.0,,3.0,,,,,,,,,,,,,,,
3,"Voss, Michael",12,6,9,21,2,1.0,,2.0,,,,,2.0,,,,,,,,,,
33,"White, Darryl",5,1,5,10,1,,,3.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,82,108,326,18,15.0,19.0,32.0,,,,,24.0,16.0,6.0,,,,,,,,
Opposition,Opposition,171,64,114,285,6,10.0,17.0,32.0,,,,,16.0,24.0,,,,,,,,,
