Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Betts, Eddie",5,2,8,13,1,,,,,2.0,,1.0,,,,7.0,5.0,,2.0,,,3.0,87.0
18 ↑,"Bower, Paul",3,2,,3,,,,1.0,2.0,,,,,,,,3.0,,,3.0,7.0,,27.0
35,"Curnow, Ed",7,4,1,8,,,,2.0,1.0,2.0,,2.0,,1.0,,1.0,7.0,,,2.0,,,68.0
34,"Duigan, Nick",5,3,7,12,,,,3.0,,2.0,,3.0,,,,2.0,8.0,,1.0,6.0,,2.0,90.0
46,"Ellard, David",7,4,3,10,,,,7.0,,2.0,2.0,2.0,1.0,,,3.0,7.0,,,2.0,,,69.0
38,"Garlett, Jeff",11,5,1,12,1,4.0,,2.0,,3.0,,1.0,2.0,,,4.0,7.0,,3.0,1.0,1.0,,90.0
4,"Gibbs, Bryce",16,10,11,27,,2.0,,2.0,5.0,5.0,1.0,2.0,,1.0,,7.0,19.0,,2.0,1.0,,,88.0
23,"Henderson, Lachie",2,1,8,10,,,,3.0,3.0,,,,2.0,,,7.0,4.0,,,6.0,,,93.0
45 ↓,"Joseph, Aaron",5,3,3,8,,,,2.0,,1.0,,1.0,,1.0,,4.0,4.0,2.0,,3.0,,,60.0
5,"Judd, Chris",12,3,23,35,,,,5.0,2.0,2.0,9.0,7.0,2.0,3.0,3.0,23.0,14.0,1.0,,3.0,,,84.0
8,"Kreuzer, Matthew",6,2,8,14,,,13.0,2.0,,3.0,1.0,2.0,2.0,1.0,,10.0,5.0,1.0,,1.0,,1.0,85.0
15,"Laidler, Jeremy",4,5,5,9,,,,1.0,1.0,1.0,,4.0,,4.0,,2.0,7.0,2.0,,2.0,,,88.0
3,"Murphy, Marc",17,2,6,23,2,,,3.0,4.0,3.0,4.0,,,,,10.0,13.0,,,2.0,3.0,,89.0
12,"Robinson, Mitch",12,4,15,27,,1.0,,3.0,3.0,3.0,5.0,1.0,,,,13.0,15.0,,1.0,2.0,2.0,1.0,85.0
29,"Scotland, Heath",10,5,13,23,1,,,3.0,5.0,1.0,1.0,1.0,,1.0,,7.0,14.0,,,3.0,3.0,,94.0
6,"Simpson, Kade",16,5,9,25,,1.0,,1.0,2.0,4.0,7.0,2.0,2.0,,,14.0,9.0,2.0,1.0,1.0,1.0,1.0,92.0
32,"Thornton, Bret",5,6,6,11,1,,,2.0,,2.0,,2.0,,1.0,,4.0,8.0,2.0,1.0,2.0,,1.0,95.0
39,"Twomey, Wayde",7,4,2,9,1,,,4.0,1.0,1.0,,1.0,1.0,,,2.0,8.0,1.0,,,,,75.0
1,"Walker, Andrew",15,5,4,19,3,1.0,,1.0,1.0,6.0,1.0,5.0,1.0,2.0,,3.0,15.0,,2.0,1.0,,,91.0
11,"Warnock, Robert",8,3,6,14,,2.0,28.0,2.0,,1.0,5.0,1.0,4.0,,,8.0,7.0,,2.0,2.0,,,74.0
10,"Watson, Matthew",9,1,1,10,,,,1.0,2.0,,,2.0,3.0,,,4.0,6.0,,,3.0,,,90.0
13,"Yarran, Chris",14,4,2,16,1,1.0,,1.0,6.0,3.0,,1.0,,,,3.0,11.0,,1.0,3.0,3.0,1.0,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,83,142,338,11,13.0,41.0,51.0,38.0,47.0,36.0,41.0,20.0,15.0,3.0,138.0,196.0,11.0,16.0,49.0,20.0,10.0,
Opposition,Opposition,218,104,123,341,13,20.0,32.0,64.0,33.0,58.0,35.0,44.0,15.0,20.0,3.0,137.0,203.0,21.0,21.0,55.0,9.0,8.0,
