Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
17,"Brown, Nathan",23y 140d,84 (49-1-34 58.93%),84 (1.00),←,
19,"Contessa, Adam",24y 183d,44 (26-1-17 60.23%),8 (0.18),←,
16,"Croft, Matthew",28y 124d,140 (81-3-56 58.93%),52 (0.37),←,
11,"Curley, Todd",28y 167d,111 (58-2-51 53.15%),45 (0.41),108 (56-2-50 52.78%),44 (0.41)
14,"Darcy, Luke",25y 353d,124 (68-2-54 55.65%),84 (0.68),←,
10,"Eagleton, Nathan",22y 232d,92 (45-2-45 50.00%),73 (0.79),36 (19-0-17 52.78%),28 (0.78)
32,"Ellis, Craig",26y 26d,98 (53-1-44 54.59%),5 (0.05),←,
4,"Garlick, Simon",26y 81d,123 (70-1-52 57.32%),90 (0.73),79 (46-1-32 58.86%),63 (0.80)
13,"Giansiracusa, Daniel",19y 111d,3 (2-0-1 66.67%),4 (1.33),←,
29,"Gilbee, Lindsay",19y 357d,6 (3-0-3 50.00%),1 (0.17),←,
3,"Grant, Chris",28y 199d,243 (131-4-108 54.73%),460 (1.89),←,
8,"Hahn, Mitch",20y 51d,17 (12-0-5 70.59%),1 (0.06),←,
22,"Harrison, Ben",26y 164d,89 (45-0-44 50.56%),44 (0.49),13 (7-0-6 53.85%),5 (0.38)
9,"Hudson, Paul",30y 345d,233 (139-1-93 59.87%),469 (2.01),99 (59-1-39 60.10%),205 (2.07)
25,"Hunter, Kingsley",26y 34d,71 (29-0-42 40.85%),101 (1.42),30 (15-0-15 50.00%),15 (0.50)
6,"Johnson, Brad",24y 347d,158 (84-3-71 54.11%),161 (1.02),←,
39,"Liberatore, Tony",35y 139d,258 (140-3-115 54.84%),94 (0.36),←,
2,"Murphy, Robert",19y 21d,11 (6-0-5 54.55%),2 (0.18),←,
27,"Penny, Luke",20y 142d,21 (11-0-10 52.38%),3 (0.14),←,
30,"Robbins, Matthew",24y 53d,43 (25-1-17 59.30%),13 (0.30),36 (21-1-14 59.72%),13 (0.36)
5,"Smith, Rohan",28y 30d,183 (100-3-80 55.46%),179 (0.98),←,
7,"West, Scott",26y 228d,183 (97-2-84 53.55%),75 (0.41),←,
Totals,Totals,25y 94d,2335 (1274-30-1031 54.56%),2048 (0.88),,
C,"Wallace, Terry",42y 199d,118 (68-1-49 58.05%),,←,
