Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Barnes, John",8,5,2,10,,,2.0,,,,,,2.0,,,,,,,,,,
8,"Burns, Ronnie",5,1,2,7,,1.0,,,,,,,,,,,,,,,,,
2,"Colbert, Leigh",13,5,4,17,,1.0,,2.0,,,,,,1.0,,,,,,,,,
36,"Graham, Ben",13,3,6,19,,,,3.0,,,,,,1.0,,,,,,,,,
32,"Hocking, Garry",14,5,13,27,1,,,2.0,,,,,3.0,2.0,,,,,,,,,
3,"Houlihan, Adam",5,2,2,7,,1.0,,,,,,,,1.0,,,,,,,,,
13,"Kilpatrick, Glenn",11,1,4,15,,,,5.0,,,,,2.0,1.0,,,,,,,,,
1,"King, Steven",8,3,6,14,1,,15.0,1.0,,,,,2.0,2.0,,,,,,,,,
18,"Lynch, Paul",8,5,1,9,2,,,,,,,,,,,,,,,,,,
21,"Mansfield, Michael",6,2,3,9,1,,,1.0,,,,,1.0,5.0,,,,,,,,,
17,"McGrath, Tim",13,6,7,20,,,,,,,,,,1.0,,,,,,,,,
28,"McKinnon, Martin",7,2,4,11,1,1.0,,,,,,,2.0,,,,,,,,,,
39,"Milburn, Darren",17,7,8,25,1,,,2.0,,,,,3.0,1.0,,,,,,,,,
23,"Pickering, Liam",24,6,6,30,1,1.0,,2.0,,,,,3.0,1.0,,,,,,,,,
15,"Riccardi, Peter",8,2,3,11,1,,,1.0,,,,,,2.0,,,,,,,,,
27,"Sanderson, Brenton",8,2,2,10,,,,3.0,,,,,1.0,,,,,,,,,,
12,"Sholl, Brad",10,2,,10,,,,,,,,,3.0,,,,,,,,,,
37,"Simpson, Sean",2,1,1,3,,,,1.0,,,,,,,,,,,,,,,
25,"Snell, Jason",3,,2,5,,,,,,,,,,,,,,,,,,,
20,"Steinfort, Carl",2,1,6,8,,,,,,,,,,,,,,,,,,,
26,"Stoneham, Barry",3,2,5,8,,,2.0,2.0,,,,,1.0,4.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,188,63,87,275,9,7.0,19.0,25.0,,,,,23.0,22.0,,,,,,,,,
Opposition,Opposition,190,44,81,271,11,13.0,9.0,32.0,,,,,22.0,23.0,,,,,,,,,
