Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",31y 81d,243 (147-0-96 60.49%),131 (0.54),←,
16,"Brown, Leigh",22y 111d,97 (35-1-61 36.60%),41 (0.42),34 (16-1-17 48.53%),21 (0.62)
2,"Colbert, Leigh",29y 6d,182 (102-2-78 56.59%),64 (0.35),77 (40-1-36 52.60%),14 (0.18)
24,"Firrito, Michael",20y 199d,11 (5-0-6 45.45%),3 (0.27),←,
6,"Grant, Shannon",27y 55d,204 (117-2-85 57.84%),223 (1.09),146 (85-1-60 58.56%),185 (1.27)
39,"Harding, Leigh",23y 48d,48 (24-1-23 51.04%),77 (1.60),←,
4,"Harris, Daniel",22y 34d,37 (18-1-18 50.00%),11 (0.30),←,
29,"Harvey, Brent",26y 30d,162 (96-1-65 59.57%),196 (1.21),←,
34,"King, David",32y 98d,231 (140-1-90 60.82%),144 (0.62),←,
35,"Makepeace, Troy",25y 99d,95 (48-1-46 51.05%),23 (0.24),←,
5,"McKernan, Corey",30y 177d,233 (129-0-104 55.36%),303 (1.30),192 (123-0-69 64.06%),243 (1.27)
19,"Motlop, Daniel",22y 89d,34 (12-1-21 36.76%),38 (1.12),←,
20,"Petrie, Drew",21y 242d,53 (24-1-28 46.23%),50 (0.94),←,
17,"Porter, Mark",27y 246d,104 (53-1-50 51.44%),20 (0.19),49 (25-1-23 52.04%),7 (0.14)
3,"Rawlings, Brady",23y 3d,82 (46-0-36 56.10%),35 (0.43),←,
26,"Rocca, Saverio",30y 206d,218 (100-3-115 46.56%),652 (2.99),62 (30-1-31 49.19%),138 (2.23)
32,"Sansbury, Eddie",20y 200d,10 (4-0-6 40.00%),1 (0.10),←,
7,"Simpson, Adam",28y 118d,192 (118-1-73 61.72%),65 (0.34),←,
10,"Stevens, Anthony",32y 347d,282 (168-1-113 59.75%),126 (0.45),←,
12,"Stevens, Michael",23y 219d,31 (15-0-16 48.39%),5 (0.16),14 (7-0-7 50.00%),2 (0.14)
36,"Watt, Shannon",23y 200d,59 (29-1-29 50.00%),4 (0.07),←,
8,"Wells, Daniel",19y 131d,30 (15-1-14 51.67%),17 (0.57),←,
Totals,Totals,25y 217d,2638 (1445-20-1173 54.78%),2229 (0.84),,
C,"Laidley, Dani",37y 78d,34 (16-1-17 48.53%),,←,
