Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ablett, Gary",2,,6,8,,1.0,,2.0,,,1.0,,1.0,,,8.0,,,,1.0,,,
3,"Bartel, Jimmy",3,2,6,9,1,,,5.0,,1.0,1.0,2.0,,1.0,,3.0,6.0,,1.0,1.0,,,
8,"Burns, Ronnie",5,1,3,8,2,,,1.0,,4.0,1.0,,,,,2.0,7.0,,,2.0,1.0,,
14,"Clarke, David",11,2,5,16,1,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,4.0,12.0,,1.0,1.0,,,
11,"Corey, Joel",5,,7,12,1,,,3.0,,1.0,4.0,1.0,1.0,1.0,,7.0,4.0,,,,,,
44,"Enright, Corey",14,,10,24,1,,,,,4.0,5.0,1.0,1.0,1.0,,10.0,12.0,,,6.0,1.0,,
23,"Foster, Daniel",5,1,1,6,,,,4.0,2.0,,,,1.0,,,3.0,2.0,,,1.0,,,
7,"Graham, Ben",4,2,2,6,,,,2.0,,2.0,,1.0,1.0,1.0,,5.0,1.0,1.0,,7.0,,,
25,"Grgic, Brent",3,2,2,5,,,,,,2.0,,4.0,,,,2.0,2.0,,,1.0,,,
2,"Harley, Tom",11,3,4,15,,,,,2.0,,,2.0,2.0,,,7.0,8.0,1.0,,2.0,,,
1,"King, Steven",9,5,9,18,,1.0,24.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,,12.0,8.0,3.0,1.0,2.0,,,
18,"Kingsley, Kent",2,1,,2,,,,,,,,1.0,,1.0,,,2.0,,,,,,
45,"Ling, Cameron",6,2,8,14,,1.0,,1.0,,,2.0,2.0,,1.0,,5.0,9.0,,,1.0,,,
24,"Lord, Aaron",10,3,11,21,2,1.0,,1.0,,5.0,4.0,,,,,8.0,13.0,,,,3.0,,
17,"McGrath, Tim",5,3,4,9,,,,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,4.0,5.0,,,1.0,,,
21,"Mooney, Cameron",7,5,5,12,1,,3.0,2.0,3.0,3.0,,1.0,1.0,,,5.0,7.0,2.0,,2.0,,,
34,"Rahilly, James",7,1,3,10,,,,2.0,1.0,2.0,1.0,1.0,,,,2.0,8.0,,,1.0,,,
15,"Riccardi, Peter",10,4,2,12,1,,,8.0,1.0,5.0,,1.0,,1.0,,4.0,9.0,,,2.0,,,
33,"Rooke, Max",3,1,4,7,,,,1.0,1.0,1.0,1.0,2.0,,2.0,,3.0,5.0,,,1.0,,,
27,"Sanderson, Brenton",9,3,3,12,,,,5.0,6.0,2.0,1.0,1.0,,1.0,,2.0,10.0,,,3.0,4.0,,
30,"Scarlett, Matthew",10,5,5,15,,1.0,,1.0,5.0,2.0,1.0,1.0,,1.0,,2.0,11.0,,,2.0,1.0,,
12,"Sholl, Brad",10,6,5,15,2,,,,2.0,1.0,,,1.0,,,3.0,11.0,1.0,1.0,2.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,151,52,105,256,12,7.0,27.0,44.0,28.0,41.0,28.0,28.0,14.0,15.0,,101.0,152.0,8.0,4.0,39.0,10.0,,
Opposition,Opposition,193,72,101,294,16,14.0,32.0,50.0,25.0,53.0,43.0,26.0,15.0,14.0,6.0,114.0,175.0,10.0,20.0,54.0,3.0,,
