St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Dean",17,5.0,5.0,22,,,,,,,,,,2.0,,,,,,,,,
18,"Bowey, Brett",5,2.0,3.0,8,,1.0,,,,,,,,,,,,,,,,,
3,"Burke, Nathan",12,2.0,8.0,20,1.0,,,2.0,,,,,2.0,2.0,,,,,,,,,
42,"Carr, Alister",3,1.0,,3,,,,,,,,,,2.0,,,,,,,,,
1,"Devonport, Craig",7,2.0,2.0,9,1.0,2.0,,3.0,,,,,1.0,2.0,,,,,,,,,
10,"Everitt, Peter",4,2.0,3.0,7,,,7.0,1.0,,,,,,2.0,,,,,,,,,
2,"Frawley, Danny",4,4.0,10.0,14,,,,1.0,,,,,,1.0,,,,,,,,,
24,"Frost, Michael",14,4.0,8.0,22,,1.0,,2.0,,,,,1.0,,,,,,,,,,
6,"Grant, David",7,7.0,5.0,12,,,,7.0,,,,,,5.0,,,,,,,,,
27,"Greig, Dean",11,4.0,9.0,20,,,,,,,,,1.0,,,,,,,,,,
35,"Harvey, Robert",17,2.0,14.0,31,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
28,"OBrien, Craig",2,,4.0,6,2.0,,,,,,,,2.0,2.0,,,,,,,,,
29,"Peckett, Justin",13,7.0,7.0,20,,,,4.0,,,,,,,,,,,,,,,
41,"Pekin, Tim",9,6.0,8.0,17,1.0,,,1.0,,,,,1.0,,,,,,,,,,
31,"Shanahan, Jamie",11,,2.0,13,,,,2.0,,,,,2.0,,,,,,,,,,
39,"Shaw, Clinton",4,1.0,3.0,7,,,,1.0,,,,,,,,,,,,,,,
5,"Shaw, Damen",13,3.0,4.0,17,1.0,,,1.0,,,,,4.0,1.0,,,,,,,,,
13,"Sierakowski, David",2,1.0,,2,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,
26,"Taylor, Kain",14,3.0,3.0,17,,,,,,,,,,1.0,,,,,,,,,
9,"Vidovic, Lazar",4,8.0,10.0,14,,,14.0,,,,,,,2.0,,,,,,,,,
7,"Winmar, Nicky",15,4.0,6.0,21,,1.0,,,,,,,2.0,2.0,,,,,,,,,
Totals,Totals,188,68.0,114.0,302,7.0,7.0,22.0,26.0,,,,,18.0,26.0,,,,,,,,,
Opposition,Opposition,221,73.0,83.0,304,19.0,14.0,20.0,20.0,,,,,26.0,18.0,6.0,,,,,,,,
