Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Banfield, Todd",5,2,3,8,2,2.0,,2.0,,2.0,2.0,2.0,1.0,,,3.0,5.0,,1.0,,,,81.0
20,"Black, Simon",16,4,17,33,1,,,4.0,3.0,6.0,8.0,4.0,4.0,1.0,,16.0,18.0,,1.0,3.0,,1.0,81.0
17,"Brennan, Jared",10,5,4,14,,1.0,1.0,,1.0,3.0,1.0,2.0,2.0,,,5.0,9.0,,,2.0,,1.0,83.0
33,"Buchanan, Amon",4,5,12,16,1,,,4.0,2.0,2.0,2.0,6.0,2.0,5.0,,7.0,9.0,1.0,1.0,,1.0,1.0,77.0
1,"Clark, Mitch",4,2,8,12,,,6.0,4.0,1.0,2.0,2.0,1.0,1.0,,,7.0,5.0,,,2.0,,,83.0
22,"Collier, Tom",4,2,3,7,,,,1.0,1.0,,,1.0,,1.0,,1.0,5.0,,,3.0,,,77.0
44,"Cornelius, Aaron",8,7,2,10,2,1.0,,,1.0,1.0,,2.0,1.0,,,4.0,6.0,2.0,3.0,1.0,,,72.0
4,"Johnstone, Travis",17,6,4,21,,,,2.0,4.0,1.0,,1.0,,,,3.0,17.0,,,2.0,,,84.0
23,"Leuenberger, Matthew",6,6,15,21,,,28.0,6.0,3.0,1.0,2.0,2.0,3.0,,,8.0,13.0,2.0,1.0,4.0,,,77.0
9,"McGrath, Ashley",6,3,8,14,,,,2.0,1.0,2.0,,2.0,,2.0,,4.0,11.0,,,3.0,2.0,,89.0
21,"Merrett, Daniel",4,3,5,9,,,,5.0,1.0,,1.0,4.0,,1.0,,3.0,6.0,1.0,,8.0,1.0,,92.0
34,"OBrien, Jesse",2,1,6,8,,,,5.0,2.0,,,3.0,,2.0,,3.0,5.0,,1.0,2.0,,,69.0
24,"Patfull, Joel",4,4,3,7,,,,3.0,1.0,2.0,,2.0,,1.0,,,7.0,,,6.0,1.0,,91.0
31,"Polkinghorne, James",5,1,10,15,1,,,4.0,1.0,3.0,1.0,4.0,1.0,3.0,,4.0,11.0,,,1.0,,,82.0
6,"Power, Luke",6,2,9,15,,1.0,,1.0,3.0,1.0,,3.0,,,,3.0,11.0,,1.0,,1.0,,90.0
30,"Redden, Jack",8,6,3,11,1,,,10.0,1.0,3.0,,1.0,1.0,,,3.0,8.0,,,6.0,,,71.0
10,"Rich, Daniel",6,2,3,9,1,,,3.0,,1.0,1.0,3.0,1.0,2.0,,3.0,6.0,,1.0,1.0,,,81.0
35,"Rischitelli, Michael",13,6,13,26,,,,7.0,3.0,2.0,7.0,4.0,1.0,1.0,,12.0,14.0,,,,,,78.0
38,"Rockliff, Tom",18,9,7,25,,1.0,,3.0,3.0,3.0,,5.0,,3.0,,4.0,20.0,,1.0,,,,79.0
3,"Sheldon, Sam",2,3,5,7,,,,1.0,,,1.0,3.0,,2.0,,2.0,8.0,,,2.0,,,84.0
11,"Sherman, Justin",9,4,9,18,,2.0,,3.0,1.0,2.0,2.0,1.0,1.0,,,8.0,10.0,1.0,2.0,,3.0,1.0,86.0
14,"Staker, Brent",12,10,9,21,,,,1.0,5.0,2.0,1.0,,1.0,,,6.0,15.0,,,5.0,,,94.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,93,158,327,9,11.0,35.0,71.0,38.0,39.0,31.0,56.0,20.0,24.0,,109.0,219.0,7.0,13.0,51.0,9.0,4.0,
Opposition,Opposition,200,92,188,388,18,12.0,38.0,64.0,29.0,58.0,34.0,47.0,24.0,20.0,6.0,144.0,242.0,14.0,20.0,44.0,18.0,9.0,
