Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",28y 120d,193 (123-0-70 63.73%),110 (0.57),←,
12,"Blakey, John",34y 363d,340 (184-0-156 54.12%),107 (0.31),205 (132-0-73 64.39%),69 (0.34)
22,"Burton, Matthew",31y 64d,108 (43-0-65 39.81%),46 (0.43),38 (21-0-17 55.26%),14 (0.37)
45,"Cochrane, Stuart",23y 2d,28 (14-0-14 50.00%),5 (0.18),←,
2,"Colbert, Leigh",26y 45d,134 (78-1-55 58.58%),62 (0.46),29 (16-0-13 55.17%),12 (0.41)
6,"Grant, Shannon",24y 94d,147 (92-1-54 62.93%),169 (1.15),89 (60-0-29 67.42%),131 (1.47)
14,"Harris, Daniel",19y 73d,7 (1-0-6 14.29%),1 (0.14),←,
29,"Harvey, Brent",23y 69d,103 (69-0-34 66.99%),113 (1.10),←,
21,"Jones, Corey",20y 146d,10 (5-0-5 50.00%),4 (0.40),←,
34,"King, David",29y 137d,172 (113-0-59 65.70%),84 (0.49),←,
35,"Makepeace, Troy",22y 138d,33 (19-0-14 57.58%),10 (0.30),←,
5,"McCartney, Jason",27y 130d,161 (91-0-70 56.52%),53 (0.33),86 (57-0-29 66.28%),5 (0.06)
31,"McKernan, Corey",27y 215d,176 (118-0-58 67.05%),226 (1.28),←,
32,"Morrell, Digby",21y 285d,6 (3-0-3 50.00%),5 (0.83),←,
44,"Motlop, Shannon",22y 338d,36 (24-0-12 66.67%),21 (0.58),←,
28,"Pickett, Byron",23y 345d,92 (61-0-31 66.30%),32 (0.35),←,
3,"Rawlings, Brady",20y 42d,33 (24-0-9 72.73%),14 (0.42),←,
26,"Rocca, Saverio",27y 244d,171 (77-2-92 45.61%),549 (3.21),15 (7-0-8 46.67%),35 (2.33)
7,"Simpson, Adam",25y 156d,130 (89-0-41 68.46%),43 (0.33),←,
9,"Sinclair, Jess",22y 330d,62 (18-0-44 29.03%),34 (0.55),12 (5-0-7 41.67%),8 (0.67)
40,"Teague, David",20y 78d,4 (3-0-1 75.00%),1 (0.25),←,
36,"Watt, Shannon",20y 238d,19 (11-0-8 57.89%),3 (0.16),←,
Totals,Totals,24y 249d,2165 (1260-4-901 58.20%),1692 (0.78),,
C,"Pagan, Denis",53y 301d,211 (137-0-74 64.93%),,←,
