St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",26y 6d,98 (44-1-53 45.41%),59 (0.60),←,
15,"Billings, Jack",18y 308d,10 (2-0-8 20.00%),11 (1.10),←,
21,"Delaney, Luke",24y 363d,39 (17-0-22 43.59%),1 (0.03),13 (3-0-10 23.08%),
24,"Dempster, Sean",30y 153d,173 (91-3-79 53.47%),20 (0.12),119 (56-3-60 48.32%),12 (0.10)
33,"Gwilt, James",27y 315d,118 (65-3-50 56.36%),21 (0.18),←,
7,"Hayes, Lenny",34y 159d,289 (139-6-144 49.13%),93 (0.32),←,
4,"Jones, Clinton",30y 140d,146 (82-4-60 57.53%),39 (0.27),←,
9,"Lee, Tom",23y 171d,13 (2-0-11 15.38%),18 (1.38),←,
18,"Longer, Billy",21y 41d,17 (2-0-15 11.76%),,8 (0-0-8 0.00%),
32,"Milera, Terry",26y 165d,29 (11-0-18 37.93%),30 (1.03),←,
41,"Minchington, Darren",20y 195d,3 (0-0-3 0.00%),3 (1.00),←,
30,"Murdoch, Brodie",20y 152d,12 (2-0-10 16.67%),2 (0.17),←,
16,"Newnes, Jack",21y 118d,38 (12-0-26 31.58%),2 (0.05),←,
22,"Ray, Farren",28y 91d,189 (100-4-85 53.97%),55 (0.29),114 (65-3-46 58.33%),23 (0.20)
12,"Riewoldt, Nick",31y 248d,272 (139-5-128 52.02%),603 (2.22),←,
6,"Ross, Sebastian",21y 46d,20 (6-0-14 30.00%),3 (0.15),←,
5,"Savage, Shane",23y 168d,63 (43-0-20 68.25%),38 (0.60),7 (2-0-5 28.57%),1 (0.14)
39,"Shenton, Cameron",23y 268d,7 (1-0-6 14.29%),1 (0.14),←,
31,"Simpkin, Tom",23y 319d,30 (14-0-16 46.67%),1 (0.03),←,
3,"Steven, Jack",24y 86d,83 (34-1-48 41.57%),62 (0.75),←,
29,"Webster, Jimmy",20y 359d,21 (4-0-17 19.05%),1 (0.05),←,
44,"Weller, Maverick",22y 129d,39 (6-0-33 15.38%),5 (0.13),7 (0-0-7 0.00%),2 (0.29)
Totals,Totals,24y 298d,1709 (816-27-866 47.75%),1068 (0.62),,
C,"Richardson, Alan",49y 36d,14 (3-0-11 21.43%),,13 (3-0-10 23.08%),
