Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 245d,67 (27-2-38 41.79%),37 (0.55),←,
35,"Baxter, Darren",26y 159d,103 (45-3-55 45.15%),16 (0.16),←,
18,"Cameron, Leon",18y 357d,38 (18-1-19 48.68%),18 (0.47),←,
1,"Charles, Justin",20y 331d,26 (12-1-13 48.08%),14 (0.54),←,
20,"Coleman, Glenn",30y 203d,165 (87-2-76 53.33%),91 (0.55),40 (19-1-20 48.75%),27 (0.68)
11,"Corcoran, Shannon",20y 184d,6 (2-0-4 33.33%),,←,
37,"Croft, Matthew",18y 180d,4 (1-0-3 25.00%),1 (0.25),←,
12,"Eppelstun, Greg",24y 282d,100 (48-2-50 49.00%),1 (0.01),←,
32,"Foster, Peter",31y 84d,149 (76-3-70 52.01%),54 (0.36),142 (73-3-66 52.46%),52 (0.37)
29,"Grant, Chris",18y 255d,34 (16-1-17 48.53%),67 (1.97),←,
7,"Hawkins, Doug",31y 112d,264 (105-4-155 40.53%),161 (0.61),←,
10,"Hunter, Mark",25y 356d,60 (24-2-34 41.67%),2 (0.03),←,
4,"Kellett, Nigel",21y 250d,19 (7-0-12 36.84%),3 (0.16),←,
8,"Kennedy, Rick",30y 257d,157 (66-2-89 42.68%),34 (0.22),←,
39,"Liberatore, Tony",25y 195d,58 (30-1-27 52.59%),34 (0.59),←,
27,"Macpherson, Stephen",26y 266d,137 (63-3-71 47.08%),135 (0.99),←,
25,"Mansfield, Matthew",22y 62d,4 (1-0-3 25.00%),,←,
17,"Standfield, Barry",21y 193d,9 (3-0-6 33.33%),,←,
58,"Stanley, Darren",19y 204d,3 (1-0-2 33.33%),2 (0.67),←,
15,"Wynd, Scott",21y 212d,54 (22-1-31 41.67%),11 (0.20),←,
Totals,Totals,24y 0d,1457 (654-28-775 44.89%),681 (0.47),,
C,"Wheeler, Terry",36y 165d,43 (20-1-22 47.67%),,←,
