Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
26,"Brown, Gavin",22y 236d,66 (35-1-30 53.79%),31 (0.47),←,
21,"Christian, Michael",25y 271d,65 (33-1-31 51.54%),7 (0.11),←,
28,"Crosisca, Gavin",21y 246d,57 (34-1-22 60.53%),22 (0.39),←,
35,"Daicos, Peter",28y 241d,189 (106-2-81 56.61%),342 (1.81),←,
3,"Gayfer, Michael",24y 275d,73 (40-0-33 54.79%),1 (0.01),←,
44,"Kerrison, Shane",25y 52d,75 (41-1-33 55.33%),9 (0.12),←,
30,"Manson, James",23y 198d,70 (37-1-32 53.57%),57 (0.81),←,
34,"McGuane, Mick",22y 141d,47 (26-1-20 56.38%),17 (0.36),←,
5,"McKeown, Ron",23y 9d,69 (35-1-33 51.45%),54 (0.78),←,
42,"Millane, Darren",24y 283d,111 (59-1-51 53.60%),56 (0.50),←,
1,"Monkhorst, Damian",20y 271d,22 (13-0-9 59.09%),1 (0.05),←,
7,"Morwood, Shane",28y 169d,144 (83-1-60 57.99%),78 (0.54),127 (74-1-52 58.66%),65 (0.51)
13,"Richardson, Alan",25y 2d,10 (5-0-5 50.00%),2 (0.20),←,
29,"Russell, Scott",20y 12d,8 (5-0-3 62.50%),2 (0.25),←,
22,"Shaw, Tony",29y 300d,228 (126-1-101 55.48%),135 (0.59),←,
27,"Starcevich, Craig",23y 3d,53 (28-1-24 53.77%),76 (1.43),←,
43,"Tranter, Brendan",19y 28d,6 (4-0-2 66.67%),,←,
6,"Tuddenham, Paul",22y 247d,28 (16-0-12 57.14%),25 (0.89),←,
24,"Turner, Jamie",27y 280d,109 (58-1-50 53.67%),20 (0.18),←,
19,"Wright, Graham",21y 347d,45 (27-1-17 61.11%),59 (1.31),←,
Totals,Totals,24y 16d,1475 (811-15-649 54.98%),994 (0.67),,
C,"Matthews, Leigh",38y 79d,96 (52-1-43 54.69%),,←,
