Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
29,"Ambrose, Patrick",27y 274d,78 (32-1-45 41.67%),23 (0.29),←,
12,"Baguley, Mark",32y 12d,133 (61-1-71 46.24%),33 (0.25),←,
16,"Begley, Josh",20y 334d,11 (6-0-5 54.55%),9 (0.82),←,
2,"Bellchambers, Tom",29y 328d,124 (55-2-67 45.16%),74 (0.60),←,
37,"Clarke, Dylan",20y 269d,2 (2-0-0 100.00%),,←,
10,"Francis, Aaron",21y 296d,18 (7-0-11 38.89%),5 (0.28),←,
35,"Guelfi, Matt",21y 292d,25 (14-0-11 56.00%),6 (0.24),←,
21,"Heppell, Dyson",27y 19d,162 (79-2-81 49.38%),58 (0.36),←,
26,"Hooker, Cale",30y 232d,183 (85-2-96 46.99%),82 (0.45),←,
18,"Hurley, Michael",29y 1d,171 (80-3-88 47.66%),108 (0.63),←,
4,"Langford, Kyle",22y 183d,53 (19-0-34 35.85%),34 (0.64),←,
15,"Laverde, Jayden",23y 51d,32 (11-0-21 34.38%),22 (0.69),←,
43,"McDonald-Tipungwuti, Anthony",26y 41d,77 (32-0-45 41.56%),87 (1.13),←,
1,"McGrath, Andrew",21y,52 (27-0-25 51.92%),11 (0.21),←,
45,"McKenna, Conor",23y 66d,62 (27-0-35 43.55%),18 (0.29),←,
44,"McKernan, Shaun",28y 274d,67 (26-0-41 38.81%),55 (0.82),33 (14-0-19 42.42%),34 (1.03)
41,"McNiece, Ben",27y 72d,13 (6-0-7 46.15%),,←,
7,"Merrett, Zach",23y 242d,114 (48-1-65 42.54%),38 (0.33),←,
3,"Parish, Darcy",21y 312d,65 (25-0-40 38.46%),24 (0.37),←,
27,"Redman, Mason",21y 280d,13 (6-0-7 46.15%),1 (0.08),←,
42,"Saad, Adam",24y 314d,81 (30-1-50 37.65%),3 (0.04),33 (17-0-16 51.52%),
11,"Zaharakis, David",29y 101d,197 (88-2-107 45.18%),121 (0.61),←,
Totals,Totals,25y 82d,1733 (766-15-952 44.20%),812 (0.47),,
C,"Worsfold, John",50y 250d,359 (181-2-176 50.70%),,78 (32-0-46 41.03%),
