Notes,Previous,Current
Brisbane Lions's highest score,"154 v St Kilda - R2,1997","189 v Adelaide - R17,2004"
Brisbane Lions's biggest win,"97 v St Kilda - R2,1997","141 v Adelaide - R17,2004"
