Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",34y 113d,302 (178-0-124 58.94%),142 (0.47),←,
16,"Brown, Leigh",25y 142d,165 (69-1-95 42.12%),72 (0.44),102 (50-1-51 49.51%),52 (0.51)
24,"Firrito, Michael",23y 230d,73 (39-0-34 53.42%),12 (0.16),←,
6,"Grant, Shannon",30y 87d,270 (152-2-116 56.67%),318 (1.18),212 (120-1-91 56.84%),280 (1.32)
15,"Green, Kasey",27y 308d,85 (35-1-49 41.76%),22 (0.26),31 (14-0-17 45.16%),14 (0.45)
31,"Hale, David",23y 54d,69 (30-0-39 43.48%),38 (0.55),←,
4,"Harris, Daniel",25y 66d,106 (53-1-52 50.47%),32 (0.30),←,
29,"Harvey, Brent",29y 62d,231 (130-1-100 56.49%),267 (1.16),←,
21,"Jones, Corey",26y 139d,118 (56-0-62 47.46%),149 (1.26),←,
25,"Lower, Ed",20y 22d,9 (5-0-4 55.56%),3 (0.33),←,
1,"McIntosh, Hamish",22y 314d,33 (15-0-18 45.45%),13 (0.39),←,
42,"McMahon, Scott",21y 43d,6 (5-0-1 83.33%),5 (0.83),←,
20,"Petrie, Drew",24y 273d,121 (59-1-61 49.17%),93 (0.77),←,
30,"Pratt, Daniel",24y 116d,53 (28-0-25 52.83%),4 (0.08),50 (27-0-23 54.00%),3 (0.06)
3,"Rawlings, Brady",26y 35d,148 (77-0-71 52.03%),53 (0.36),←,
7,"Simpson, Adam",31y 149d,257 (151-1-105 58.95%),73 (0.28),←,
9,"Sinclair, Jess",28y 323d,176 (71-1-104 40.63%),68 (0.39),126 (58-1-67 46.43%),42 (0.33)
10,"Smith, Jesse",20y 289d,16 (11-0-5 68.75%),1 (0.06),←,
19,"Swallow, Andrew",20y 43d,27 (13-0-14 48.15%),9 (0.33),←,
12,"Thomas, Lindsay",19y 137d,11 (6-0-5 54.55%),9 (0.82),←,
36,"Watt, Shannon",26y 231d,121 (62-1-58 51.65%),8 (0.07),←,
8,"Wells, Daniel",22y 162d,94 (47-1-46 50.53%),54 (0.57),←,
Totals,Totals,25y 69d,2491 (1292-11-1188 51.87%),1445 (0.58),,
C,"Laidley, Dani",40y 110d,104 (51-1-52 49.52%),,←,
