Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",28y 261d,237 (131-0-106 55.27%),230 (0.97),←,
29,"Bramble, Lachlan",26y 114d,51 (21-2-28 43.14%),4 (0.08),21 (12-0-9 57.14%),2 (0.10)
17,"Coffield, Nick",24y 293d,60 (27-1-32 45.83%),2 (0.03),8 (5-0-3 62.50%),
31,"Dale, Bailey",28y 20d,152 (83-0-69 54.61%),82 (0.54),←,
35,"Daniel, Caleb",28y 35d,189 (103-0-86 54.50%),48 (0.25),←,
10,"Darcy, Sam",21y 23d,25 (13-0-12 52.00%),31 (1.24),←,
15,"Duryea, Taylor",33y 109d,211 (137-1-73 65.17%),25 (0.12),93 (55-0-38 59.14%),4 (0.04)
44,"English, Tim",27y 1d,129 (71-0-58 55.04%),76 (0.59),←,
38,"Garcia, Riley",23y 194d,31 (16-0-15 51.61%),13 (0.42),←,
19,"Jones, Liam",33y 169d,197 (77-0-120 39.09%),84 (0.43),102 (47-0-55 46.08%),68 (0.67)
24,"Khamis, Buku",24y 140d,26 (15-0-11 57.69%),7 (0.27),←,
21,"Liberatore, Tom",32y 87d,231 (114-0-117 49.35%),84 (0.36),←,
7,"Lobb, Rory",31y 184d,173 (95-2-76 55.49%),172 (0.99),33 (19-0-14 57.58%),29 (0.88)
30,"McNeil, Lachlan",23y 184d,51 (33-0-18 64.71%),25 (0.49),←,
33,"Naughton, Aaron",24y 255d,140 (77-0-63 55.00%),219 (1.56),←,
25,"Poulter, Caleb",21y 304d,28 (13-0-15 46.43%),8 (0.29),16 (10-0-6 62.50%),6 (0.38)
20,"Richards, Ed",25y 39d,122 (64-0-58 52.46%),32 (0.26),←,
1,"Treloar, Adam",31y 155d,251 (115-1-135 46.02%),153 (0.61),78 (45-0-33 57.69%),56 (0.72)
2,"Ugle-Hagan, Jamarra",22y 129d,64 (34-0-30 53.13%),100 (1.56),←,
23,"Vandermeer, Laitham",25y 190d,65 (35-0-30 53.85%),29 (0.45),←,
3,"Weightman, Cody",23y 209d,73 (41-0-32 56.16%),123 (1.68),←,
14,"West, Rhylee",24y 30d,57 (33-0-24 57.89%),46 (0.81),←,
34,"Williams, Bailey",26y 306d,148 (80-0-68 54.05%),35 (0.24),←,
Totals,Totals,26y 213d,2711 (1428-7-1276 52.67%),1628 (0.60),,
C,"Beveridge, Luke",53y 354d,227 (128-0-99 56.39%),,←,
