North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",23y 244d,117 (69-0-48 58.97%),15 (0.13),←,
50,"Brown, Ben",23y 176d,41 (32-0-9 78.05%),66 (1.61),←,
10,"Cunnington, Ben",24y 319d,131 (76-0-55 58.02%),56 (0.43),←,
15,"Dal Santo, Nick",32y 82d,308 (180-5-123 59.25%),153 (0.50),48 (35-0-13 72.92%),13 (0.27)
38,"Daw, Majak",25y 64d,17 (8-0-9 47.06%),19 (1.12),←,
43,"Gibson, Sam",29y 353d,93 (59-0-34 63.44%),41 (0.44),←,
22,"Goldstein, Todd",27y 318d,157 (89-1-67 57.01%),79 (0.50),←,
29,"Harvey, Brent",38y,417 (231-3-183 55.76%),495 (1.19),←,
5,"Jacobs, Ben",24y 126d,77 (38-0-39 49.35%),10 (0.13),51 (33-0-18 64.71%),5 (0.10)
34,"Macmillan, Jamie",24y 234d,89 (53-0-36 59.55%),36 (0.40),←,
21,"McDonald, Luke",21y 95d,45 (31-0-14 68.89%),1 (0.02),←,
2,"McKenzie, Brad",22y 351d,24 (13-0-11 54.17%),5 (0.21),←,
17,"Mullett, Aaron",24y 81d,54 (32-0-22 59.26%),25 (0.46),←,
28,"Nahas, Robin",28y 186d,111 (47-3-61 43.69%),131 (1.18),28 (18-0-10 64.29%),31 (1.11)
20,"Petrie, Drew",33y 212d,301 (155-3-143 51.99%),413 (1.37),←,
9,"Swallow, Andrew",28y 347d,194 (103-1-90 53.35%),76 (0.39),←,
25,"Tarrant, Robbie",27y 19d,69 (40-0-29 57.97%),41 (0.59),←,
12,"Thomas, Lindsay",28y 76d,181 (94-2-85 52.49%),289 (1.60),←,
16,"Thompson, Scott",30y 5d,167 (86-2-79 52.10%),6 (0.04),←,
30,"Waite, Jarrad",33y 100d,215 (89-4-122 42.33%),319 (1.48),31 (23-0-8 74.19%),67 (2.16)
32,"Wood, Mason",22y 244d,11 (7-0-4 63.64%),8 (0.73),←,
7,"Ziebell, Jack",25y 76d,132 (71-0-61 53.79%),79 (0.60),←,
Totals,Totals,27y 102d,2951 (1603-24-1324 54.32%),2363 (0.80),,
C,"Scott, Brad",40y 11d,143 (82-0-61 57.34%),,←,
