Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",28y 292d,135 (91-2-42 68.15%),159 (1.18),←,
16,"Barnard, Paul",27y 195d,91 (62-0-29 68.13%),23 (0.25),80 (59-0-21 73.75%),19 (0.24)
22,"Barnes, John",31y 86d,179 (105-2-72 59.22%),87 (0.49),35 (28-1-6 81.43%),22 (0.63)
8,"Bewick, Darren",33y 5d,237 (152-1-84 64.35%),331 (1.40),←,
32,"Blumfield, Justin",22y 276d,93 (64-0-29 68.82%),66 (0.71),←,
33,"Caracella, Blake",23y 164d,80 (56-0-24 70.00%),101 (1.26),←,
31,"Fletcher, Dustin",25y 111d,150 (103-3-44 69.67%),52 (0.35),←,
11,"Hardwick, Damien",28y 8d,131 (85-1-45 65.27%),12 (0.09),←,
26,"Heffernan, Chris",21y 210d,57 (43-0-14 75.44%),20 (0.35),←,
5,"Hird, James",27y 204d,129 (83-4-42 65.89%),221 (1.71),←,
14,"Johnson, Jason",22y 214d,39 (33-0-6 84.62%),16 (0.41),←,
1,"Johnson, Mark",22y 95d,38 (35-0-3 92.11%),7 (0.18),←,
18,"Lloyd, Matthew",22y 132d,105 (69-1-35 66.19%),350 (3.33),←,
13,"Long, Michael",30y 330d,182 (126-2-54 69.78%),141 (0.77),←,
25,"Lucas, Scott",22y 240d,91 (58-0-33 63.74%),148 (1.63),←,
2,"Mercuri, Mark",26y 187d,150 (100-3-47 67.67%),214 (1.43),←,
24,"Misiti, Joe",25y 291d,164 (105-4-55 65.24%),69 (0.42),←,
29,"Moorcroft, Gary",24y 132d,63 (45-0-18 71.43%),73 (1.16),←,
9,"Ramanauskas, Adam",19y 281d,25 (23-0-2 92.00%),13 (0.52),←,
7,"Solomon, Dean",20y 230d,50 (38-0-12 76.00%),14 (0.28),←,
21,"Wallis, Dean",30y 365d,125 (82-1-42 66.00%),42 (0.34),←,
6,"Wellman, Sean",25y 341d,134 (79-2-53 59.70%),19 (0.14),100 (66-1-33 66.50%),10 (0.10)
Totals,Totals,25y 233d,2448 (1637-26-785 66.87%),2178 (0.89),,
C,"Sheedy, Kevin",52y 246d,471 (305-5-161 65.29%),,←,
