Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Dyson, Kevin",16,4,15,31,1,,,2.0,,,,,,4.0,2.0,,,,,,,,
20,"Febey, Matthew",18,6,12,30,,2.0,,1.0,,,,,2.0,,,,,,,,,,
21,"Febey, Steven",17,6,6,23,,,,,,,,,1.0,3.0,,,,,,,,,
24,"Gilbert, Phil",,,,,,,,,,,,,,,,,,,,,,,
22,"Hilton, Jeff",6,8,8,14,,,,2.0,,,,,1.0,3.0,,,,,,,,,
13,"Jakovich, Allen",14,11,1,15,8,1.0,,,,,,,1.0,5.0,1.0,,,,,,,,
7,"Kowal, Darren",9,,2,11,,,,2.0,,,,,1.0,2.0,,,,,,,,,
16,"Lovell, Andy",11,6,11,22,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
17,"Lovett, Brett",13,3,7,20,,,,3.0,,,,,1.0,,,,,,,,,,
6,"Lovett, Glenn",15,5,8,23,2,,,2.0,,,,,1.0,1.0,3.0,,,,,,,,
3,"Lyon, Garry",17,11,6,23,1,,,2.0,,,,,1.0,,,,,,,,,,
9,"Neitz, David",4,1,8,12,,,,1.0,,,,,1.0,2.0,,,,,,,,,
25,"Norrish, Jason",6,1,1,7,1,,,,,,,,,1.0,,,,,,,,,
10,"Pike, Martin",5,1,,5,1,,,2.0,,,,,2.0,2.0,,,,,,,,,
19,"Prymke, Paul",7,1,3,10,,,,3.0,,,,,3.0,,,,,,,,,,
5,"Schwarz, David",11,5,7,18,3,,5.0,4.0,,,,,3.0,,,,,,,,,,
11,"Stynes, Jim",6,3,12,18,,1.0,12.0,1.0,,,,,1.0,3.0,,,,,,,,,
2,"Tingay, Stephen",16,6,10,26,,1.0,,,,,,,,2.0,,,,,,,,,
12,"Viney, Todd",7,2,14,21,,,,2.0,,,,,3.0,4.0,,,,,,,,,
27,"Wight, Sean",8,4,1,9,,,,3.0,,,,,2.0,,,,,,,,,,
8,"Yeats, Graeme",3,1,1,4,,,,,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,85,133,342,17,10.0,17.0,31.0,,,,,27.0,34.0,6.0,,,,,,,,
Opposition,Opposition,170,63,106,276,11,8.0,19.0,40.0,,,,,34.0,27.0,,,,,,,,,
