Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",7,1,5,12,1,,,1.0,,,,,,,,,,,,,,,
19,"Bain, David",8,3,9,17,1,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
32,"Baldwin, Jason",24,6,10,34,1,,,3.0,,,,,2.0,,,,,,,,,,
34,"Boyd, Brad",18,8,14,32,1,,,6.0,,,,,2.0,1.0,,,,,,,,,
35,"Cook, Brett",2,2,3,5,,,3.0,,,,,,,,,,,,,,,,
20,"Cummings, Trent",3,1,3,6,,,,4.0,,,,,1.0,,,,,,,,,,
18,"Dunstan, Michael",13,4,2,15,,,,,,,,,1.0,1.0,1.0,,,,,,,,
6,"Guard, Jeremy",9,2,5,14,,,,1.0,,,,,,,,,,,,,,,
17,"Hawking, Simon",10,3,2,12,,,,,,,,,2.0,1.0,,,,,,,,,
2,"Johnson, Chris",3,2,8,11,1,1.0,,,,,,,1.0,,,,,,,,,,
29,"Lyon, Ross",8,3,5,13,,,,3.0,,,,,,,,,,,,,,,
30,"Manson, James",3,8,12,15,,2.0,7.0,3.0,,,,,1.0,,,,,,,,,,
25,"McCarthy, John",9,2,9,18,,1.0,2.0,3.0,,,,,3.0,,3.0,,,,,,,,
11,"McGregor, Anthony",,1,1,1,,,,,,,,,,,,,,,,,,,
7,"Molloy, Jarrod",6,3,8,14,,1.0,1.0,,,,,,,2.0,,,,,,,,,
1,"Roos, Paul",12,8,6,18,3,2.0,,,,,,,,3.0,,,,,,,,,
3,"Seecamp, Marcus",15,5,6,21,,,,,,,,,2.0,1.0,,,,,,,,,
21,"Sporn, Kieran",13,7,5,18,,2.0,,,,,,,,1.0,,,,,,,,,
22,"Stretch, Steven",15,4,3,18,1,,1.0,4.0,,,,,1.0,,,,,,,,,,
12,"Wheildon, Darren",6,4,8,14,4,1.0,,2.0,,,,,,3.0,,,,,,,,,
8,"Wynd, Jim",20,5,9,29,,1.0,,2.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,204,82,133,337,13,16.0,14.0,35.0,,,,,17.0,14.0,4.0,,,,,,,,
Opposition,Opposition,175,64,129,304,9,12.0,9.0,19.0,,,,,14.0,17.0,2.0,,,,,,,,
