Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
4,"Ablett, Gary",35y 75d,338 (182-2-154 54.14%),431 (1.28),228 (147-2-79 64.91%),307 (1.35)
30,"Atkins, Tom",23y 313d,17 (13-0-4 76.47%),4 (0.24),←,
24,"Bews, Jed",25y 226d,76 (43-2-31 57.89%),7 (0.09),←,
46,"Blicavs, Mark",28y 122d,151 (101-2-48 67.55%),36 (0.24),←,
6,"Clark, Jordan",18y 285d,17 (13-0-4 76.47%),10 (0.59),←,
40,"Dahlhaus, Luke",26y 341d,172 (84-0-88 48.84%),118 (0.69),18 (14-0-4 77.78%),8 (0.44)
35,"Dangerfield, Patrick",29y 114d,241 (140-1-100 58.30%),275 (1.14),87 (59-1-27 68.39%),112 (1.29)
22,"Duncan, Mitch",28y 48d,198 (143-1-54 72.47%),144 (0.73),←,
29,"Guthrie, Cameron",26y 343d,155 (102-2-51 66.45%),48 (0.31),←,
26,"Hawkins, Tom",31y 7d,250 (180-2-68 72.40%),545 (2.18),←,
38,"Henry, Jack",20y 333d,38 (25-0-13 65.79%),8 (0.21),←,
11,"Kelly, Tim",25y 2d,41 (27-0-14 65.85%),40 (0.98),←,
8,"Kolodjashnij, Jake",23y 353d,87 (57-2-28 66.67%),,←,
32,"Miers, Gryan",20y 120d,18 (14-0-4 77.78%),19 (1.06),←,
42,"OConnor, Mark",22y 192d,25 (17-0-8 68.00%),1 (0.04),←,
34,"Parsons, James",22y 107d,35 (20-1-14 58.57%),26 (0.74),←,
17,"Ratugolea, Esava",21y 4d,21 (17-0-4 80.95%),16 (0.76),←,
14,"Selwood, Joel",31y 63d,288 (213-1-74 74.13%),157 (0.55),←,
16,"Selwood, Scott",29y 123d,168 (89-1-78 53.27%),44 (0.26),33 (22-0-11 66.67%),7 (0.21)
9,"Smith, Zac",29y 156d,114 (47-1-66 41.67%),51 (0.45),49 (34-1-14 70.41%),20 (0.41)
44,"Stewart, Tom",26y 135d,61 (41-0-20 67.21%),3 (0.05),←,
7,"Taylor, Harry",33y 46d,255 (188-2-65 74.12%),74 (0.29),←,
Totals,Totals,26y 126d,2766 (1756-20-990 63.49%),2057 (0.74),,
C,"Scott, Chris",43y 86d,208 (145-2-61 70.19%),,←,
