Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
11,"Bennell, Harley",21y 283d,60 (16-0-44 26.67%),76 (1.27),←,
36,"Broughton, Greg",27y 286d,101 (44-0-57 43.56%),19 (0.19),33 (15-0-18 45.45%),4 (0.12)
12,"Day, Sam",21y 309d,58 (19-0-39 32.76%),40 (0.69),←,
23,"Dixon, Charlie",23y 292d,47 (16-0-31 34.04%),53 (1.13),←,
33,"Hall, Aaron",23y 245d,43 (18-0-25 41.86%),42 (0.98),←,
5,"Harbrow, Jarrod",25y 359d,142 (63-1-78 44.72%),41 (0.29),72 (23-0-49 31.94%),20 (0.28)
28,"Kolodjashnij, Kade",18y 337d,14 (7-0-7 50.00%),4 (0.29),←,
40,"Lemmens, Sean",19y 252d,12 (8-0-4 66.67%),1 (0.08),←,
37,"Lonergan, Jesse",19y 240d,7 (3-0-4 42.86%),,←,
19,"Lynch, Tom",21y 254d,54 (17-0-37 31.48%),68 (1.26),←,
4,"Martin, Jack",19y 164d,5 (3-0-2 60.00%),3 (0.60),←,
17,"May, Steven",22y 183d,50 (17-0-33 34.00%),15 (0.30),←,
29,"Murphy, Tom",28y 115d,113 (61-1-51 54.42%),5 (0.04),18 (6-0-12 33.33%),
1,"OMeara, Jaeger",20y 139d,38 (17-0-21 44.74%),25 (0.66),←,
10,"Prestia, Dion",21y 273d,67 (19-0-48 28.36%),20 (0.30),←,
35,"Rischitelli, Michael",28y 185d,173 (66-3-104 39.02%),75 (0.43),62 (17-0-45 27.42%),28 (0.45)
6,"Sexton, Alex",20y 221d,18 (6-0-12 33.33%),4 (0.22),←,
26,"Shaw, Matt",22y 157d,67 (19-0-48 28.36%),24 (0.36),←,
2,"Smith, Zac",24y 140d,53 (12-0-41 22.64%),29 (0.55),←,
25,"Stanley, Danny",26y 144d,74 (23-0-51 31.08%),35 (0.47),69 (22-0-47 31.88%),35 (0.51)
24,"Swallow, David",21y 235d,67 (20-0-47 29.85%),33 (0.49),←,
16,"Thompson, Rory",23y 122d,47 (16-0-31 34.04%),7 (0.15),←,
Totals,Totals,22y 341d,1310 (490-5-815 37.40%),619 (0.47),,
C,"McKenna, Guy",45y 62d,82 (23-0-59 28.05%),,←,
