Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Anderson, Stuart",3,,3,6,,,,,1.0,,,,,,,,,,,,,,
32,"Bond, Chris",17,3,6,23,,,,,1.0,7.0,3.0,,3.0,,,,,,,,,,
18,"Brown, Michael",1,,,1,1,,2.0,1.0,1.0,,,,,,,,,,,,,,
24,"Burton, Matthew",6,3,9,15,,,24.0,1.0,1.0,1.0,4.0,,1.0,,,,,,,,,,
42,"Callaghan, Craig",16,3,8,24,1,,,1.0,1.0,5.0,5.0,2.0,4.0,2.0,,,,,,,,,
46,"Carroll, Trent",3,1,5,8,,,1.0,,2.0,,,,,1.0,,,,,,,,,
13,"Chisholm, Scott",11,4,3,14,,,,,5.0,,,1.0,2.0,1.0,,,,,,,,,
31,"Clement, James",4,3,3,7,,,,2.0,,,,2.0,,3.0,,,,,,,,,
37,"Gale, Mark",7,,8,15,,,,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,
22,"Godden, Tony",6,5,4,10,1,1.0,,,,5.0,,,,,,,,,,,,,
17,"Holland, Brodie",10,1,5,15,1,1.0,,,,3.0,5.0,,,2.0,,,,,,,,,
14,"Hunter, Kingsley",8,6,1,9,1,2.0,,,,3.0,,2.0,,,,,,,,,,,
11,"Kickett, Dale",10,5,11,21,,,,,3.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,
28,"Koops, Steven",4,1,5,9,,,2.0,1.0,,3.0,1.0,3.0,,2.0,,,,,,,,,
34,"Maher, Paul",11,6,2,13,1,,8.0,,,5.0,,1.0,1.0,,,,,,,,,,
43,"McGovern, Andrew",12,7,5,17,,,,2.0,3.0,1.0,,,1.0,,,,,,,,,,
16,"Michael, Clem",2,2,6,8,,,10.0,,1.0,2.0,4.0,1.0,,,,,,,,,,,
25,"Norrish, Jason",11,3,9,20,2,,,,,4.0,2.0,2.0,2.0,,,,,,,,,,
10,"OReilly, Stephen",8,4,1,9,,,,,4.0,1.0,,,2.0,2.0,,,,,,,,,
23,"Parker, Shane",8,6,3,11,,,,1.0,3.0,1.0,,1.0,,,,,,,,,,,
15,"Sinclair, Jess",7,2,,7,1,,,,,,1.0,,,1.0,,,,,,,,,
1,"Toia, Luke",17,4,6,23,1,,,3.0,1.0,3.0,3.0,2.0,4.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,69,103,285,10,9.0,47.0,14.0,27.0,46.0,30.0,20.0,23.0,19.0,,,,,,,,,
Opposition,Opposition,185,67,94,279,13,4.0,29.0,32.0,28.0,42.0,31.0,8.0,19.0,23.0,6.0,,,,,,,,
