St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",27y 81d,128 (51-1-76 40.23%),78 (0.61),←,
27,"Bruce, Josh",23y 89d,46 (9-1-36 20.65%),57 (1.24),32 (8-1-23 26.56%),54 (1.69)
24,"Dempster, Sean",31y 228d,203 (98-3-102 49.01%),20 (0.10),149 (63-3-83 43.29%),12 (0.08)
7,"Dunstan, Luke",20y 219d,35 (10-1-24 30.00%),21 (0.60),←,
25,"Fisher, Sam",33y 57d,216 (119-5-92 56.25%),22 (0.10),←,
14,"Geary, Jarryn",27y 74d,120 (63-1-56 52.92%),21 (0.17),←,
19,"Gilbert, Sam",29y 17d,157 (89-5-63 58.28%),31 (0.20),←,
33,"Goddard, Hugh",19y 12d,8 (1-1-6 18.75%),1 (0.13),←,
45,"Holmes, Jason",25y 312d,3 (0-1-2 16.67%),,←,
37,"Lonie, Jack",19y 23d,17 (6-0-11 35.29%),12 (0.71),←,
11,"Montagna, Leigh",31y 307d,249 (131-5-113 53.61%),146 (0.59),←,
30,"Murdoch, Brodie",21y 227d,20 (3-1-16 17.50%),8 (0.40),←,
16,"Newnes, Jack",22y 193d,69 (19-1-49 28.26%),10 (0.14),←,
22,"Ray, Farren",29y 166d,205 (103-5-97 51.46%),58 (0.28),130 (68-4-58 53.85%),26 (0.20)
12,"Riewoldt, Nick",32y 323d,298 (146-6-146 50.00%),648 (2.17),←,
17,"Roberton, Dylan",24y 76d,84 (34-0-50 40.48%),11 (0.13),47 (12-0-35 25.53%),6 (0.13)
6,"Ross, Sebastian",22y 121d,37 (8-1-28 22.97%),5 (0.14),←,
5,"Savage, Shane",24y 243d,90 (49-1-40 55.00%),50 (0.56),34 (8-1-25 25.00%),13 (0.38)
40,"Sinclair, Jack",20y 205d,18 (5-0-13 27.78%),18 (1.00),←,
3,"Steven, Jack",25y 161d,112 (40-2-70 36.61%),74 (0.66),←,
29,"Webster, Jimmy",22y 69d,39 (9-1-29 24.36%),2 (0.05),←,
44,"Weller, Maverick",23y 204d,68 (13-1-54 19.85%),18 (0.26),36 (7-1-28 20.83%),15 (0.42)
Totals,Totals,25y 122d,2222 (1006-43-1173 45.27%),1311 (0.59),,
C,"Richardson, Alan",50y 111d,45 (10-1-34 23.33%),,44 (10-1-33 23.86%),
