St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Baker, Steven",6,4.0,5.0,11,,1.0,,5.0,1.0,2.0,3.0,,2.0,,,7,5,,,,,,
21,"Beetham, Caydn",10,3.0,5.0,15,,,,1.0,1.0,5.0,3.0,1.0,1.0,3.0,,9,7,1.0,,1.0,,,
27,"Blake, Jason",7,5.0,10.0,17,,,1.0,2.0,1.0,3.0,4.0,2.0,1.0,,,7,10,,,1.0,,,
11,"Callaghan, Craig",8,5.0,7.0,15,,,,,2.0,5.0,2.0,1.0,,,,3,12,,,1.0,,,
19,"Davis, Chad",9,3.0,5.0,14,,,,3.0,1.0,4.0,2.0,4.0,,,,5,9,,,1.0,,,
10,"Everitt, Peter",13,4.0,3.0,16,1.0,2.0,41.0,2.0,1.0,5.0,4.0,2.0,3.0,4.0,,10,6,1.0,1.0,1.0,,,
9,"Gehrig, Fraser",10,5.0,6.0,16,,1.0,,,2.0,3.0,2.0,1.0,,1.0,,6,8,,,1.0,,,
25,"Hall, Barry",5,3.0,,5,3.0,,,,,1.0,,,1.0,3.0,,2,3,,2.0,,,,
2,"Hamill, Aaron",4,1.0,8.0,12,,,,5.0,,1.0,3.0,,,1.0,,6,7,,,1.0,,,
8,"Hudghton, Max",7,4.0,7.0,14,,,,,2.0,1.0,,1.0,1.0,1.0,,2,11,,,,,,
5,"Jones, Austinn",12,3.0,10.0,22,,,,1.0,5.0,1.0,3.0,,,,,5,16,,,,2.0,,
36,"Knowles, Brett",8,3.0,3.0,11,1.0,,,1.0,1.0,2.0,1.0,,1.0,,,4,7,,1.0,,,,
24,"Koschitzke, Justin",7,2.0,4.0,11,,,1.0,,3.0,1.0,,3.0,,,,5,6,,,1.0,,,
44,"Milne, Stephen",5,2.0,3.0,8,1.0,2.0,,1.0,,,2.0,,,,,5,3,,1.0,1.0,,,
43,"Moyle, Brett",8,7.0,8.0,16,,,,1.0,2.0,3.0,2.0,,,3.0,,3,13,,,2.0,1.0,,
1,"Peckett, Justin",5,1.0,1.0,6,,,,,,1.0,,3.0,1.0,1.0,,1,4,,,,1.0,,
17,"Plapp, Justin",11,8.0,6.0,17,,,,3.0,5.0,,1.0,1.0,1.0,1.0,,4,13,1.0,,1.0,,,
26,"Powell, Robert",1,,1.0,2,,,,,,,1.0,,1.0,,,1,1,,,,,,
12,"Riewoldt, Nick",5,4.0,1.0,6,2.0,,1.0,,,,,1.0,,1.0,,2,4,1.0,2.0,,,,
4,"Thompson, Andrew",14,4.0,7.0,21,,,,2.0,1.0,7.0,3.0,,,,,6,15,,,3.0,,,
32,"Traianidis, Jason",5,3.0,3.0,8,,,,1.0,,2.0,1.0,,,1.0,,2,7,,,,,,
20,"Young, Matthew",19,6.0,3.0,22,,1.0,,1.0,2.0,4.0,3.0,,,,,5,16,,1.0,,,,
Totals,Totals,179,80.0,106.0,285,8.0,7.0,44.0,29.0,30.0,51.0,40.0,20.0,13.0,20.0,,100,183,4.0,8.0,15.0,4.0,,
Opposition,Opposition,207,75.0,99.0,306,21.0,16.0,20.0,31.0,36.0,59.0,50.0,8.0,20.0,13.0,6.0,131,162,14.0,18.0,12.0,15.0,,
