Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Athorn, Mark",13,3,6,19,,,,1.0,,,,,3.0,,,,,,,,,,
18,"Blakey, John",11,,5,16,1,,,,,,,,1.0,,,,,,,,,,
42,"Board, Terry",7,,9,16,,1.0,,3.0,,,,,1.0,2.0,,,,,,,,,
17,"Broderick, Paul",11,3,8,19,,,,1.0,,,,,1.0,2.0,,,,,,,,,
49,"Bunn, Mark",16,3,8,24,,,,4.0,,,,,5.0,,,,,,,,,,
40,"Clayton, Scott",15,6,7,22,,,,1.0,,,,,1.0,,,,,,,,,,
2,"Dilena, Carl",7,4,1,8,,,,1.0,,,,,,3.0,,,,,,,,,
7,"Gale, Michael",5,1,8,13,,,,1.0,,,,,,1.0,,,,,,,,,
21,"Kappler, Darren",7,,4,11,,1.0,,2.0,,,,,,2.0,,,,,,,,,
12,"Kickett, Dale",1,1,4,5,,,,2.0,,,,,,,,,,,,,,,
11,"Lynch, Alastair",8,3,1,9,,,,,,,,,2.0,3.0,,,,,,,,,
44,"Osborne, Richard",6,1,2,8,,1.0,,,,,,,,4.0,,,,,,,,,
3,"Pert, Gary",20,10,2,22,1,1.0,2.0,,,,,,2.0,5.0,,,,,,,,,
9,"Rendell, Matthew",5,1,3,8,,,7.0,,,,,,2.0,1.0,,,,,,,,,
1,"Roos, Paul",16,8,8,24,2,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,
33,"Stephens, Brett",15,3,6,21,,,,1.0,,,,,1.0,1.0,,,,,,,,,
31,"Strooper, David",12,2,6,18,,1.0,,,,,,,3.0,1.0,,,,,,,,,
23,"Taylor, Jason",,,2,2,,,,,,,,,,,,,,,,,,,
30,"Waterson, Chris",7,2,5,12,,,,1.0,,,,,,,,,,,,,,,
28,"Wheildon, Darren",2,1,1,3,,,,,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,184,52,96,280,4,8.0,9.0,19.0,,,,,25.0,27.0,,,,,,,,,
Opposition,Opposition,223,77,107,330,17,16.0,15.0,18.0,,,,,27.0,25.0,6.0,,,,,,,,
