Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
18,"Brown, Michael",19y 331d,8 (2-0-6 25.00%),6 (0.75),←,
24,"Burton, Matthew",26y 89d,30 (11-0-19 36.67%),14 (0.47),←,
42,"Callaghan, Craig",20y 160d,25 (5-0-20 20.00%),12 (0.48),←,
31,"Clement, James",19y 347d,10 (2-0-8 20.00%),,←,
30,"Delaney, Tony",20y 233d,32 (11-1-20 35.94%),18 (0.56),17 (6-0-11 35.29%),9 (0.53)
19,"Dhurrkay, Gary",22y 165d,26 (10-0-16 38.46%),34 (1.31),←,
37,"Gale, Mark",20y 101d,3 (1-0-2 33.33%),1 (0.33),←,
32,"Harding, Greg",19y 334d,16 (5-0-11 31.25%),,←,
14,"Hunter, Kingsley",21y 81d,18 (5-0-13 27.78%),29 (1.61),←,
11,"Kickett, Dale",28y 104d,85 (37-0-48 43.53%),46 (0.54),39 (14-0-25 35.90%),6 (0.15)
28,"Koops, Steven",18y 23d,5 (2-0-3 40.00%),5 (1.00),←,
9,"Mann, Peter",25y 344d,78 (30-0-48 38.46%),67 (0.86),39 (12-0-27 30.77%),55 (1.41)
43,"McGovern, Andrew",28y 131d,44 (14-1-29 32.95%),8 (0.18),24 (10-0-14 41.67%),1 (0.04)
12,"Merillo, Jamie",23y 263d,13 (4-0-9 30.77%),2 (0.15),←,
45,"Mitchell, Gavin",23y 232d,19 (6-0-13 31.58%),9 (0.47),←,
25,"Norrish, Jason",24y 203d,52 (23-0-29 44.23%),7 (0.13),32 (11-0-21 34.38%),5 (0.16)
10,"OReilly, Stephen",23y 281d,76 (33-0-43 43.42%),9 (0.12),40 (12-0-28 30.00%),4 (0.10)
23,"Parker, Shane",23y 180d,21 (7-0-14 33.33%),3 (0.14),←,
40,"Toia, Luke",18y 267d,11 (3-0-8 27.27%),8 (0.73),←,
26,"Waterhouse, Clive",22y 54d,9 (3-0-6 33.33%),4 (0.44),←,
34,"White, Jeff",19y 179d,17 (6-0-11 35.29%),13 (0.76),←,
Totals,Totals,22y 161d,598 (220-2-376 36.79%),295 (0.49),,
C,"Neesham, Gerard",41y 249d,42 (14-0-28 33.33%),,←,
