Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Aleer, Leek",4.0,3.0,1.0,5.0,,,,1.0,2.0,,,2.0,,1.0,,,5.0,,,1.0,,,70.0
7,"Ash, Lachie",7.0,2.0,3.0,10.0,,,,1.0,3.0,,1.0,1.0,,,,4.0,3.0,,,3.0,,,85.0
46,"Brown, Callum",1.0,,1.0,2.0,,,,1.0,,1.0,,2.0,,1.0,,1.0,2.0,,,2.0,,,79.0
13,"Cumming, Isaac",16.0,5.0,2.0,18.0,,,,4.0,6.0,3.0,,2.0,,1.0,,,13.0,,,3.0,,,84.0
4,"Greene, Toby",9.0,3.0,2.0,11.0,2.0,2.0,,2.0,,4.0,1.0,3.0,,1.0,,7.0,4.0,1.0,2.0,2.0,,,97.0
12,"Green, Tom",7.0,2.0,10.0,17.0,,,1.0,2.0,2.0,3.0,3.0,4.0,,1.0,,6.0,11.0,,,,,,79.0
19,"Haynes, Nick",9.0,6.0,4.0,13.0,,,,1.0,3.0,,,2.0,,,,5.0,8.0,1.0,,5.0,,,88.0
27,"Himmelberg, Harry",11.0,5.0,5.0,16.0,1.0,,,1.0,5.0,2.0,,2.0,1.0,,,6.0,8.0,2.0,1.0,2.0,1.0,1.0,93.0
23,"Hogan, Jesse",5.0,7.0,7.0,12.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,1.0,,6.0,6.0,1.0,3.0,1.0,,1.0,82.0
2,"Hopper, Jacob",8.0,3.0,7.0,15.0,,,,6.0,3.0,1.0,4.0,3.0,1.0,1.0,,8.0,10.0,,,2.0,,1.0,72.0
25,"Keeffe, Lachlan",,,,,,,,,,,,,,,,,,,,,,,
22,"Kelly, Josh",13.0,5.0,12.0,25.0,,1.0,,4.0,4.0,3.0,4.0,5.0,2.0,2.0,,12.0,13.0,,,,,,92.0
40,"Kennedy, Adam",8.0,3.0,2.0,10.0,,,,,2.0,,,3.0,2.0,1.0,,5.0,5.0,,,1.0,,,75.0
38,"Lloyd, Daniel",3.0,2.0,4.0,7.0,,,,2.0,,1.0,,1.0,,1.0,,4.0,3.0,,,,,,79.0
33,"OHalloran, Xavier",6.0,2.0,1.0,7.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,4.0,3.0,,,,,,85.0
20,"Peatling, James",8.0,3.0,3.0,11.0,,2.0,,2.0,,4.0,1.0,3.0,1.0,1.0,,2.0,9.0,,,,,1.0,62.0
36,"Perryman, Harry",13.0,2.0,9.0,22.0,,,,3.0,3.0,3.0,4.0,3.0,1.0,1.0,,12.0,10.0,,,,,,85.0
11,"Preuss, Braydon",8.0,3.0,2.0,10.0,1.0,1.0,33.0,4.0,3.0,2.0,1.0,5.0,1.0,3.0,,6.0,4.0,1.0,1.0,,,,72.0
14,"Taranto, Tim",8.0,5.0,8.0,16.0,,1.0,,4.0,2.0,4.0,3.0,4.0,2.0,1.0,,6.0,10.0,,,1.0,,,84.0
15,"Taylor, Sam",14.0,10.0,7.0,21.0,,,,1.0,7.0,1.0,1.0,3.0,1.0,1.0,,15.0,6.0,5.0,,6.0,,,100.0
8,"Ward, Callan",9.0,3.0,12.0,21.0,,,1.0,1.0,3.0,1.0,6.0,4.0,,,,9.0,11.0,,,1.0,,,73.0
10,"Wehr, Jacob",8.0,1.0,2.0,10.0,,,,3.0,,,2.0,1.0,1.0,,,6.0,4.0,,,1.0,,,79.0
6,"Whitfield, Lachie",13.0,4.0,9.0,22.0,,,,2.0,3.0,1.0,2.0,1.0,,,,8.0,11.0,,,1.0,,,85.0
Totals,Totals,188.0,79.0,113.0,301.0,5.0,9.0,36.0,50.0,52.0,36.0,34.0,56.0,14.0,18.0,,132.0,159.0,11.0,7.0,32.0,1.0,4.0,
Opposition,Opposition,258.0,121.0,160.0,418.0,17.0,10.0,33.0,74.0,31.0,69.0,43.0,61.0,18.0,14.0,6.0,151.0,259.0,15.0,12.0,39.0,8.0,11.0,
