Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
24,"Adams, Marcus",27y 319d,45 (27-0-18 60.00%),4 (0.09),18 (13-0-5 72.22%),
4,"Ah Chee, Callum",23y 218d,72 (29-0-43 40.28%),30 (0.42),27 (21-0-6 77.78%),6 (0.22)
31,"Andrews, Harris",24y 155d,122 (45-0-77 36.89%),10 (0.08),←,
33,"Bailey, Zac",21y 234d,55 (34-0-21 61.82%),32 (0.58),←,
14,"Birchall, Grant",33y 107d,273 (187-1-85 68.68%),34 (0.12),25 (20-0-5 80.00%),
23,"Cameron, Charlie",26y 314d,136 (85-1-50 62.87%),210 (1.54),63 (38-0-25 60.32%),123 (1.95)
18,"Coleman, Keidean",21y 45d,9 (7-0-2 77.78%),4 (0.44),←,
3,"Daniher, Joe",27y 72d,117 (46-1-70 39.74%),207 (1.77),9 (6-0-3 66.67%),16 (1.78)
27,"Gardiner, Darcy",25y 235d,129 (55-0-74 42.64%),5 (0.04),←,
30,"Hipwood, Eric",23y 244d,103 (48-0-55 46.60%),154 (1.50),←,
35,"Lester, Ryan",28y 262d,150 (60-0-90 40.00%),45 (0.30),←,
17,"Lyons, Jarryd",28y 297d,144 (81-0-63 56.25%),72 (0.50),52 (37-0-15 71.15%),23 (0.44)
36,"Mathieson, Rhys",24y 125d,51 (20-0-31 39.22%),25 (0.49),←,
11,"McCarthy, Lincoln",27y 205d,79 (58-0-21 73.42%),70 (0.89),50 (35-0-15 70.00%),45 (0.90)
6,"McCluggage, Hugh",23y 73d,91 (45-0-46 49.45%),57 (0.63),←,
46,"McInerney, Oscar",26y 309d,64 (38-0-26 59.38%),33 (0.52),←,
25,"McStay, Daniel",25y 325d,125 (53-0-72 42.40%),94 (0.75),←,
20,"Prior, Jaxon",19y 345d,7 (6-0-1 85.71%),5 (0.71),←,
10,"Rich, Daniel",30y 342d,231 (91-1-139 39.61%),111 (0.48),←,
2,"Robertson, Deven",19y 319d,7 (5-0-2 71.43%),2 (0.29),←,
5,"Robinson, Mitch",31y 342d,219 (101-1-117 46.35%),113 (0.52),119 (50-0-69 42.02%),55 (0.46)
37,"Starcevich, Brandon",21y 295d,32 (22-0-10 68.75%),2 (0.06),←,
15,"Zorko, Dayne",32y 95d,194 (77-0-117 39.69%),197 (1.02),←,
Totals,Totals,25y 356d,2455 (1220-5-1230 49.69%),1516 (0.62),,
C,"Fagan, Chris",59y 326d,96 (47-0-49 48.96%),,←,
