Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",8,,10,18,1,,,4.0,,,,,1.0,1.0,,,,,,,,,
50,"Ballantyne, Jon",13,8,1,14,5,5.0,,,,,,,1.0,1.0,,,,,,,,,
19,"Beveridge, Luke",9,1,3,12,,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,
18,"Cameron, Leon",2,,3,5,,,,1.0,,,,,1.0,1.0,,,,,,,,,
6,"Campbell, Tony",8,2,,8,,,,4.0,,,,,,,,,,,,,,,
32,"Foster, Peter",11,9,7,18,,,1.0,,,,,,,1.0,,,,,,,,,
41,"Frost, Michael",9,3,2,11,1,1.0,,2.0,,,,,2.0,,,,,,,,,,
29,"Grant, Chris",9,4,4,13,,,,1.0,,,,,2.0,1.0,,,,,,,,,
28,"Grgic, Ilija",4,3,2,6,,,3.0,3.0,,,,,,,,,,,,,,,
7,"Hawkins, Doug",16,5,12,28,,,,,,,,,2.0,,,,,,,,,,
4,"Kellett, Nigel",15,3,4,19,,,,,,,,,1.0,1.0,,,,,,,,,
21,"Kolyniuk, Steven",21,2,8,29,2,2.0,,1.0,,,,,2.0,,2.0,,,,,,,,
39,"Liberatore, Tony",9,1,17,26,,1.0,,6.0,,,,,3.0,1.0,,,,,,,,,
25,"Mansfield, Matthew",8,,5,13,,,,3.0,,,,,1.0,1.0,,,,,,,,,
22,"Quill, Peter",14,3,11,25,,,,1.0,,,,,1.0,1.0,,,,,,,,,
2,"Reynolds, Keenan",11,6,3,14,,,,1.0,,,,,,,,,,,,,,,
33,"Royal, Brian",6,,5,11,,2.0,,1.0,,,,,,1.0,,,,,,,,,
17,"Standfield, Barry",10,5,3,13,1,,1.0,2.0,,,,,,4.0,,,,,,,,,
14,"West, Scott",10,7,11,21,,3.0,,3.0,,,,,1.0,4.0,,,,,,,,,
15,"Wynd, Scott",9,6,8,17,,,27.0,2.0,,,,,2.0,2.0,1.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,202,68,119,321,10,18.0,32.0,36.0,,,,,23.0,21.0,3.0,,,,,,,,
Opposition,Opposition,196,76,121,317,8,14.0,9.0,28.0,,,,,21.0,23.0,3.0,,,,,,,,
