Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",13,3,11,24,,,,2.0,,,,,1.0,1.0,,,,,,,,,
30,"Bourke, Damian",7,2,2,9,,,10.0,2.0,,,,,,1.0,,,,,,,,,
11,"Buckley, Nathan",19,6,7,26,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,
1,"Champion, Richard",9,2,2,11,1,2.0,,4.0,,,,,2.0,2.0,,,,,,,,,
5,"Chapman, Nathan",4,,5,9,,,,2.0,,,,,,1.0,,,,,,,,,
16,"Clarke, Matthew",2,2,,2,,,6.0,,,,,,,2.0,,,,,,,,,
12,"Clarke, Troy",12,2,,12,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
6,"Fletcher, Adrian",16,4,10,26,,,1.0,5.0,,,,,5.0,2.0,,,,,,,,,
29,"Francis, Fabian",3,1,3,6,,1.0,,2.0,,,,,,1.0,,,,,,,,,
4,"Gastev, John",11,3,4,15,,,,3.0,,,,,,1.0,,,,,,,,,
2,"Green, Ashley",5,3,3,8,,1.0,,1.0,,,,,,,,,,,,,,,
32,"Hart, Shaun",9,2,6,15,,,,1.0,,,,,1.0,1.0,,,,,,,,,
41,"Kennedy, Matthew",1,2,1,2,,,,,,,,,,1.0,,,,,,,,,
31,"McCormack, Brendan",21,4,8,29,,1.0,1.0,3.0,,,,,3.0,2.0,,,,,,,,,
19,"McLean, Michael",15,1,9,24,,,,1.0,,,,,1.0,1.0,,,,,,,,,
40,"McLuckie, Steven",11,1,6,17,,,,,,,,,,1.0,,,,,,,,,
24,"Merrett, Roger",10,3,3,13,2,5.0,,1.0,,,,,2.0,2.0,,,,,,,,,
8,"Peos, Paul",5,3,2,7,,,,1.0,,,,,,1.0,,,,,,,,,
28,"Windsor, Ray",11,5,3,14,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
18,"Worsfold, Peter",11,2,2,13,,,,,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,195,51,87,282,4,15.0,19.0,31.0,,,,,18.0,23.0,1.0,,,,,,,,
Opposition,Opposition,238,71,138,376,23,17.0,19.0,26.0,,,,,23.0,18.0,5.0,,,,,,,,
