Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",10,4,5,15,,,,1.0,2.0,1.0,,4.0,,2.0,,5.0,10.0,,,3.0,,,89.0
16,"Brown, Leigh",5,6,6,11,1,1.0,1.0,2.0,2.0,,,,,,,1.0,9.0,,1.0,3.0,2.0,1.0,93.0
43,"Campbell, Matt",2,1,,2,,,,3.0,,2.0,,,,,,,2.0,,,,,,46.0
24,"Firrito, Michael",3,4,10,13,,,,2.0,2.0,,,3.0,,2.0,,7.0,7.0,1.0,,1.0,2.0,,100.0
6,"Grant, Shannon",21,16,7,28,,1.0,,1.0,1.0,6.0,3.0,4.0,1.0,2.0,2.0,9.0,20.0,1.0,3.0,1.0,,2.0,90.0
15,"Green, Kasey",11,8,5,16,,,,4.0,,3.0,,,,,,,17.0,,,2.0,4.0,2.0,91.0
31,"Hale, David",6,3,5,11,,1.0,7.0,2.0,1.0,3.0,2.0,1.0,,1.0,,6.0,4.0,1.0,1.0,1.0,,,58.0
4,"Harris, Daniel",7,3,10,17,,1.0,,3.0,1.0,2.0,1.0,2.0,,2.0,,6.0,11.0,,,1.0,,1.0,66.0
29,"Harvey, Brent",19,10,13,32,,,,1.0,3.0,6.0,2.0,6.0,,2.0,3.0,7.0,25.0,1.0,,,8.0,1.0,91.0
21,"Jones, Corey",14,5,6,20,3,2.0,,1.0,3.0,1.0,,4.0,3.0,1.0,,7.0,14.0,,2.0,1.0,1.0,,92.0
25,"Lower, Ed",3,3,4,7,,,,2.0,,1.0,,,,,,2.0,5.0,,,,,,55.0
1,"McIntosh, Hamish",10,6,6,16,,3.0,23.0,,,1.0,1.0,1.0,,1.0,,5.0,9.0,1.0,1.0,,1.0,,69.0
42,"McMahon, Scott",11,8,7,18,2,1.0,,4.0,2.0,2.0,,,1.0,,,4.0,14.0,,5.0,2.0,2.0,1.0,87.0
20,"Petrie, Drew",12,9,2,14,6,,,1.0,,3.0,,,1.0,,1.0,6.0,9.0,2.0,7.0,1.0,,1.0,100.0
30,"Pratt, Daniel",6,3,8,14,,,,3.0,2.0,,1.0,2.0,,,,6.0,7.0,,,5.0,1.0,,88.0
3,"Rawlings, Brady",10,7,14,24,,,,6.0,2.0,5.0,3.0,1.0,,1.0,,4.0,20.0,,,2.0,1.0,,78.0
7,"Simpson, Adam",10,6,7,17,,,,1.0,1.0,,5.0,1.0,3.0,,,7.0,9.0,,,5.0,,,80.0
9,"Sinclair, Jess",16,3,7,23,1,1.0,,5.0,,6.0,4.0,1.0,,,,7.0,17.0,,2.0,2.0,,,91.0
10,"Smith, Jesse",8,3,5,13,,1.0,,1.0,3.0,1.0,1.0,3.0,,,,6.0,7.0,1.0,,3.0,5.0,,96.0
19,"Swallow, Andrew",5,1,9,14,,,,6.0,,2.0,2.0,,2.0,,,7.0,8.0,,,2.0,2.0,1.0,69.0
36,"Watt, Shannon",10,4,3,13,,,,,2.0,4.0,,,,,,,13.0,,,5.0,,,95.0
8,"Wells, Daniel",9,5,7,16,1,2.0,,2.0,,4.0,1.0,,,,,1.0,15.0,,2.0,3.0,3.0,3.0,76.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,118,146,354,14,20.0,31.0,51.0,27.0,53.0,26.0,33.0,11.0,14.0,6.0,103.0,252.0,8.0,24.0,43.0,32.0,13.0,
Opposition,Opposition,196,100,141,337,11,13.0,25.0,45.0,35.0,46.0,31.0,47.0,14.0,11.0,,108.0,227.0,9.0,18.0,52.0,35.0,9.0,
