Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Addison, Dylan",2,2,11.0,13,1.0,,,5.0,,2.0,1.0,1.0,1.0,1.0,,6,7,,,2.0,,,81.0
21,"Akermanis, Jason",14,4,5.0,19,4.0,2.0,,4.0,,6.0,1.0,2.0,1.0,,1.0,5,14,,3.0,2.0,,1.0,91.0
5,"Boyd, Matthew",20,7,13.0,33,1.0,,,5.0,1.0,5.0,11.0,6.0,1.0,1.0,3.0,12,22,,,1.0,4.0,,93.0
17,"Cooney, Adam",7,1,19.0,26,1.0,,,3.0,1.0,2.0,5.0,,1.0,,,10,16,,1.0,2.0,,,84.0
4,"Cross, Daniel",3,3,20.0,23,,,1.0,4.0,,,7.0,3.0,,2.0,,13,11,,,2.0,,,87.0
10,"Eagleton, Nathan",12,6,9.0,21,,1.0,,1.0,,5.0,,1.0,1.0,,,1,20,,1.0,1.0,,1.0,96.0
3,"Everitt, Andrejs",6,2,6.0,12,,,,2.0,1.0,,,3.0,1.0,1.0,,4,8,1.0,,2.0,2.0,,70.0
13,"Giansiracusa, Daniel",19,5,9.0,28,,2.0,,1.0,1.0,8.0,3.0,2.0,1.0,,,7,21,,1.0,1.0,2.0,3.0,79.0
9,"Gilbee, Lindsay",19,3,9.0,28,2.0,2.0,,2.0,5.0,5.0,2.0,2.0,,,,6,22,,,2.0,,,95.0
16,"Griffen, Ryan",13,2,9.0,22,,,,4.0,3.0,4.0,2.0,,,,,5,16,,,,1.0,,76.0
8,"Hahn, Mitch",9,1,5.0,14,1.0,,,5.0,1.0,4.0,,1.0,1.0,1.0,,6,8,,1.0,,1.0,,83.0
40,"Harbrow, Jarrod",13,3,7.0,20,,,,,4.0,2.0,,2.0,,,,6,15,,,5.0,4.0,,88.0
20,"Hill, Josh",7,3,3.0,10,,2.0,,6.0,3.0,1.0,,3.0,1.0,2.0,,4,5,,2.0,,,,85.0
15,"Hudson, Ben",4,6,10.0,14,,,22.0,2.0,,2.0,1.0,1.0,,,,3,11,,,5.0,,1.0,67.0
6,"Johnson, Brad",10,5,6.0,16,1.0,1.0,,1.0,,3.0,,5.0,,3.0,,5,12,,3.0,2.0,1.0,2.0,88.0
36,"Lake, Brian",11,8,6.0,17,,,1.0,1.0,9.0,1.0,,4.0,,,,2,14,1.0,,5.0,3.0,,95.0
27,"Minson, Will",5,3,5.0,10,,1.0,14.0,4.0,2.0,1.0,2.0,1.0,,,,3,8,,1.0,,,,70.0
38,"Morris, Dale",5,6,10.0,15,,,,2.0,,,1.0,1.0,2.0,1.0,,9,6,2.0,,9.0,,,100.0
2,"Murphy, Robert",6,4,,6,1.0,,,,,1.0,,,,,,1,5,,1.0,,,1.0,16.0
42,"Picken, Liam",7,1,3.0,10,,1.0,,4.0,,3.0,1.0,,2.0,,,5,5,,,,,,81.0
28,"Welsh, Scott",9,6,5.0,14,3.0,2.0,,3.0,,1.0,1.0,,1.0,,,7,7,1.0,4.0,2.0,,1.0,88.0
12,"Williams, Tom",5,2,4.0,9,,,,1.0,,1.0,,2.0,,2.0,,2,7,,,4.0,,,87.0
Totals,Totals,206,83,174.0,380,15.0,14.0,38.0,60.0,31.0,57.0,38.0,40.0,14.0,14.0,4.0,122,260,5.0,18.0,47.0,18.0,10.0,
Opposition,Opposition,202,102,253.0,455,15.0,7.0,25.0,60.0,39.0,47.0,26.0,50.0,14.0,14.0,2.0,129,322,13.0,7.0,57.0,28.0,9.0,
