Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
21,"Buntine, Matt",25y 268d,59 (30-0-29 50.85%),3 (0.05),←,
18,"Cameron, Jeremy",26y 104d,146 (63-3-80 44.18%),375 (2.57),←,
3,"Coniglio, Stephen",25y 211d,133 (62-1-70 46.99%),78 (0.59),←,
16,"Daniels, Brent",20y 127d,23 (14-0-9 60.87%),11 (0.48),←,
1,"Davis, Phil",28y 318d,157 (76-3-78 49.36%),7 (0.04),139 (65-3-71 47.84%),6 (0.04)
7,"Deledio, Brett",32y 87d,271 (127-6-138 47.97%),196 (0.72),28 (17-1-10 62.50%),14 (0.50)
4,"Greene, Toby",25y 292d,137 (60-1-76 44.16%),156 (1.14),←,
19,"Haynes, Nick",27y 57d,119 (57-3-59 49.16%),9 (0.08),←,
37,"Hill, Bobby",19y 155d,1 (0-0-1 0.00%),3 (3.00),←,
27,"Himmelberg, Harry",23y 67d,56 (35-1-20 63.39%),64 (1.14),←,
2,"Hopper, Jacob",22y 158d,60 (37-1-22 62.50%),24 (0.40),←,
40,"Kennedy, Adam",27y 2d,108 (41-0-67 37.96%),9 (0.08),←,
38,"Lloyd, Daniel",27y 146d,32 (17-3-12 57.81%),25 (0.78),←,
36,"Perryman, Harry",20y 207d,26 (12-1-13 48.08%),4 (0.15),←,
50,"Reid, Sam",29y 249d,80 (44-3-33 56.88%),28 (0.35),70 (38-3-29 56.43%),27 (0.39)
23,"Shaw, Heath",33y 229d,298 (181-5-112 61.58%),39 (0.13),125 (71-3-51 58.00%),2 (0.02)
26,"Simpson, Dawson",30y 147d,44 (29-1-14 67.05%),4 (0.09),16 (10-1-5 65.63%),
14,"Taranto, Tim",21y 167d,53 (32-1-20 61.32%),22 (0.42),←,
15,"Taylor, Sam",20y 70d,23 (15-0-8 65.22%),1 (0.04),←,
20,"Tomlinson, Adam",25y 338d,131 (55-3-73 43.13%),34 (0.26),←,
6,"Whitfield, Lachie",24y 361d,124 (59-3-62 48.79%),56 (0.45),←,
29,"Williams, Zac",24y 297d,92 (47-0-45 51.09%),23 (0.25),←,
Totals,Totals,25y 218d,2173 (1093-39-1041 50.30%),1171 (0.54),,
C,"Cameron, Leon",46y 315d,133 (72-3-58 55.26%),,←,
