Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Baker, Oskar",12,5,3,15,,,,4.0,1.0,6.0,2.0,2.0,,,,3.0,12.0,,,1.0,1.0,,85.0
10,"Brayshaw, Angus",7,4,8,15,,,,4.0,1.0,1.0,3.0,3.0,1.0,2.0,,10.0,7.0,1.0,,3.0,,,78.0
50,"Brown, Ben",4,1,1,5,2,1.0,,2.0,,,,1.0,1.0,1.0,,6.0,2.0,,1.0,2.0,,1.0,74.0
31,"Fritsch, Bayley",10,6,4,14,6,1.0,,1.0,,1.0,,6.0,,4.0,2.0,6.0,9.0,1.0,2.0,,,,93.0
11,"Gawn, Max",5,4,8,13,,1.0,28.0,2.0,1.0,,1.0,4.0,1.0,3.0,,5.0,8.0,,1.0,6.0,,,97.0
14,"Hibberd, Michael",13,10,6,19,,,,,3.0,1.0,,1.0,1.0,,,4.0,15.0,2.0,,,,,82.0
29,"Hunt, Jayden",6,5,5,11,,,,2.0,,2.0,,,,,,2.0,9.0,1.0,,1.0,,,77.0
6,"Jackson, Luke",6,2,16,22,1,,7.0,2.0,1.0,1.0,2.0,1.0,1.0,,,7.0,15.0,,,1.0,,1.0,79.0
2 ↑,"Jones, Nathan",7,5,7,14,,,,2.0,2.0,1.0,2.0,1.0,,,,3.0,11.0,,,,,,49.0
23,"Jordon, James",10,3,10,20,1,,,7.0,,4.0,4.0,2.0,1.0,1.0,,5.0,15.0,,,,,,72.0
15,"Langdon, Ed",17,12,8,25,1,,,2.0,4.0,2.0,2.0,1.0,1.0,,,5.0,19.0,,1.0,,2.0,,93.0
8,"Lever, Jake",13,7,4,17,,,,2.0,4.0,2.0,,2.0,2.0,2.0,,6.0,10.0,2.0,,3.0,,,100.0
1,"May, Steven",21,14,4,25,,,,1.0,8.0,1.0,,2.0,,,,4.0,20.0,2.0,,12.0,,,100.0
25,"McDonald, Tom",8,5,7,15,,,1.0,1.0,4.0,1.0,,1.0,,,,4.0,11.0,,,4.0,,,92.0
18,"Melksham, Jake",10,6,7,17,,,,3.0,1.0,6.0,,7.0,1.0,2.0,,5.0,11.0,1.0,1.0,,,2.0,68.0
30,"Neal-Bullen, Alex",6,2,4,10,,,,,,2.0,,6.0,1.0,3.0,,5.0,7.0,,,1.0,1.0,1.0,71.0
13,"Oliver, Clayton",13,2,12,25,1,,,5.0,3.0,6.0,7.0,3.0,2.0,1.0,,17.0,9.0,,,,1.0,,88.0
5,"Petracca, Christian",16,7,7,23,,1.0,,4.0,,9.0,8.0,4.0,,1.0,,9.0,13.0,,2.0,,,,88.0
36,"Pickett, Kysaiah",9,2,8,17,3,2.0,,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,12.0,7.0,,,1.0,3.0,2.0,77.0
24,"Rivers, Trent",11,6,3,14,,,,3.0,3.0,1.0,1.0,1.0,,,,4.0,9.0,1.0,,1.0,,,68.0
3,"Salem, Christian",19,4,10,29,,,,3.0,3.0,,1.0,1.0,2.0,,,9.0,19.0,,,1.0,1.0,,81.0
9,"Spargo, Charlie",8,5,2,10,1,,,2.0,,3.0,,,,,,5.0,6.0,2.0,,,,,73.0
20 ↓,"Tomlinson, Adam",,,,,,,,,,,,,,,,,,,,,,,6.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,231,117,144,375,16,7.0,36.0,54.0,39.0,52.0,35.0,51.0,16.0,21.0,3.0,136.0,244.0,13.0,8.0,37.0,9.0,7.0,
Opposition,Opposition,217,102,150,367,11,7.0,32.0,51.0,34.0,51.0,40.0,63.0,21.0,16.0,3.0,136.0,228.0,11.0,9.0,63.0,3.0,9.0,
