Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Akermanis, Jason",13,3,4,17,2,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
10,"Ashcroft, Marcus",14,2,5,19,,,,,,,,,,2.0,,,,,,,,,
25,"Bews, Andrew",15,5,3,18,,,,1.0,,,,,,1.0,,,,,,,,,
1,"Champion, Richard",5,2,2,7,,,,,,,,,,1.0,,,,,,,,,
16,"Clarke, Matthew",3,2,4,7,,,7.0,1.0,,,,,,1.0,,,,,,,,,
14,"Dickfos, Danny",10,4,3,13,,,,1.0,,,,,1.0,,,,,,,,,,
6,"Fletcher, Adrian",15,3,8,23,,,,3.0,,,,,,1.0,,,,,,,,,
8,"Gowers, Andrew",21,7,3,24,,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,
21,"Green, Brent",3,2,4,7,,,,2.0,,,,,1.0,1.0,,,,,,,,,
32,"Hart, Shaun",13,2,2,15,1,3.0,,2.0,,,,,2.0,,,,,,,,,,
27,"Keating, Clark",4,2,4,8,,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,
41,"Kennedy, Matthew",13,2,,13,,,,,,,,,1.0,3.0,,,,,,,,,
18,"Lambert, Craig",7,,10,17,,1.0,,5.0,,,,,3.0,1.0,,,,,,,,,
44,"Lappin, Nigel",20,9,6,26,,,,1.0,,,,,,1.0,3.0,,,,,,,,
11,"Lynch, Alastair",6,2,,6,,3.0,,2.0,,,,,2.0,1.0,,,,,,,,,
2,"McAdam, Gilbert",12,6,2,14,1,,,2.0,,,,,1.0,,,,,,,,,,
4,"McRae, Craig",5,,,5,,1.0,,1.0,,,,,,,,,,,,,,,
24,"Merrett, Roger",1,1,2,3,,,,1.0,,,,,,1.0,,,,,,,,,
22,"Scott, Chris",13,4,8,21,,,,1.0,,,,,3.0,1.0,,,,,,,,,
3,"Voss, Michael",8,,11,19,,,,,,,,,,,,,,,,,,,
33,"White, Darryl",7,4,9,16,,,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,62,90,298,4,12.0,10.0,30.0,,,,,16.0,19.0,4.0,,,,,,,,
Opposition,Opposition,179,49,61,240,3,4.0,23.0,24.0,,,,,19.0,16.0,2.0,,,,,,,,
