0,1,2,3,4,5,6
←,"Round: 7 Venue: Football Park Date: Sun, 9-May-2010 4:10 PM (4:40 PM) Attendance: 31196","Round: 7 Venue: Football Park Date: Sun, 9-May-2010 4:10 PM (4:40 PM) Attendance: 31196","Round: 7 Venue: Football Park Date: Sun, 9-May-2010 4:10 PM (4:40 PM) Attendance: 31196","Round: 7 Venue: Football Park Date: Sun, 9-May-2010 4:10 PM (4:40 PM) Attendance: 31196","Round: 7 Venue: Football Park Date: Sun, 9-May-2010 4:10 PM (4:40 PM) Attendance: 31196",→
←,Adelaide,3.0.18,5.3.33,7.9.51,15.14.104,→
←,Richmond,3.3.21,6.5.41,6.10.46,7.12.54,→
←,Qrt margin,RI by 3,RI by 8,AD by 5,AD by 50,→
←,Qrt scores,RI 21-18,RI 20-15,AD 18-5,AD 53-8,→
←,Field umpires,"Dean Margetts (129), Heath Ryan (37), Michael Avon (171)","Dean Margetts (129), Heath Ryan (37), Michael Avon (171)","Dean Margetts (129), Heath Ryan (37), Michael Avon (171)","Dean Margetts (129), Heath Ryan (37), Michael Avon (171)",→
