Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"AhMat, Matthew",3,,2.0,5,,,,1.0,,,,,,,,,,,,,,,
10,"Ashcroft, Marcus",18,4.0,12.0,30,,2.0,,,,,,,,2.0,,,,,,,,,
8,"Cameron, David",12,3.0,,12,2.0,,2.0,,,,,,2.0,2.0,,,,,,,,,
25,"Campbell, Matthew",9,1.0,6.0,15,,1.0,,,,,,,1.0,3.0,,,,,,,,,
1,"Champion, Richard",13,8.0,3.0,16,2.0,2.0,,2.0,,,,,,4.0,2.0,,,,,,,,
12,"Clarke, Troy",11,4.0,6.0,17,2.0,,,2.0,,,,,,,,,,,,,,,
4,"Gastev, John",11,4.0,8.0,19,,,,2.0,,,,,,4.0,,,,,,,,,
5,"Hardie, Brad",7,4.0,,7,2.0,2.0,,1.0,,,,,,,,,,,,,,,
41,"Kennedy, Matthew",5,1.0,,5,,,,,,,,,1.0,,,,,,,,,,
53,"Kidgell, Ian",5,,3.0,8,,,8.0,1.0,,,,,3.0,1.0,,,,,,,,,
17,"Leslie, Martin",13,6.0,2.0,15,,,,,,,,,1.0,1.0,,,,,,,,,
50,"Luhrs, Simon",5,2.0,2.0,7,,,,,,,,,1.0,,,,,,,,,,
19,"McLean, Michael",7,2.0,2.0,9,1.0,,,2.0,,,,,,,,,,,,,,,
24,"Merrett, Roger",11,6.0,8.0,19,,,2.0,,,,,,2.0,3.0,,,,,,,,,
26,"Noonan, Danny",14,6.0,8.0,22,,,,2.0,,,,,,,,,,,,,,,
34,"Ogg, David",7,2.0,5.0,12,1.0,,,1.0,,,,,,,,,,,,,,,
23,"Schache, Laurence",12,11.0,3.0,15,5.0,2.0,,,,,,,1.0,,,,,,,,,,
20,"Sim, Lachlan",3,,4.0,7,,,,2.0,,,,,1.0,,,,,,,,,,
35,"Worsfold, Peter",15,3.0,9.0,24,1.0,1.0,,,,,,,,1.0,,,,,,,,,
21,"Zanotti, Mark",14,2.0,5.0,19,1.0,,,1.0,,,,,1.0,4.0,,,,,,,,,
Totals,Totals,195,69.0,88.0,283,17.0,10.0,12.0,17.0,,,,,14.0,25.0,2.0,,,,,,,,
Opposition,Opposition,230,92.0,135.0,365,23.0,19.0,21.0,25.0,,,,,25.0,14.0,4.0,,,,,,,,
