North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Edwards, Aaron",9,8,6,15,,1.0,,2.0,,1.0,,4.0,,,,5.0,10.0,,1.0,,,1.0,94.0
11,"Firrito, Michael",6,3,4,10,,2.0,,,,2.0,1.0,3.0,,2.0,,4.0,6.0,,,,,1.0,83.0
38,"Gibson, Josh",16,5,8,24,,,1.0,3.0,7.0,2.0,1.0,3.0,2.0,1.0,,8.0,19.0,1.0,,4.0,,,94.0
22,"Goldstein, Todd",3,4,6,9,,,19.0,6.0,,1.0,,1.0,,,,5.0,6.0,,,2.0,,,53.0
17,"Grima, Nathan",6,2,4,10,,,,2.0,3.0,,,3.0,,2.0,,3.0,7.0,1.0,,5.0,,,98.0
31,"Hale, David",7,7,4,11,2,1.0,,1.0,,,,1.0,1.0,,,5.0,6.0,2.0,2.0,,,,89.0
39,"Harding, Leigh",6,4,14,20,,,,2.0,4.0,2.0,2.0,5.0,,1.0,,6.0,14.0,,,,6.0,,84.0
4,"Harris, Daniel",3,1,10,13,,,,5.0,,1.0,6.0,5.0,3.0,3.0,,11.0,3.0,,,4.0,,,63.0
2,"Lower, Ed",4,2,14,18,,,,3.0,2.0,1.0,4.0,4.0,1.0,4.0,,9.0,9.0,,,,,,92.0
1,"McIntosh, Hamish",8,4,8,16,2,,19.0,3.0,3.0,1.0,4.0,1.0,2.0,,,8.0,8.0,2.0,1.0,1.0,,,72.0
42,"McMahon, Scott",12,5,6,18,,,,1.0,4.0,,,,,,,3.0,13.0,2.0,,2.0,,1.0,97.0
20,"Petrie, Drew",11,8,3,14,,,1.0,5.0,1.0,5.0,1.0,3.0,,2.0,,7.0,7.0,3.0,,2.0,,1.0,94.0
5,"Power, Sam",4,1,6,10,,,,2.0,1.0,2.0,3.0,4.0,,3.0,,5.0,5.0,,,,,,82.0
28,"Riggio, Matt",4,3,6,10,,,,3.0,1.0,1.0,,1.0,,1.0,,3.0,7.0,,,,,,70.0
15,"Ross, Ben",9,4,14,23,,1.0,,5.0,1.0,6.0,,6.0,,1.0,,7.0,15.0,,,,1.0,,82.0
7,"Simpson, Adam",8,1,9,17,,,3.0,2.0,,3.0,3.0,3.0,1.0,,,9.0,7.0,1.0,,,,,78.0
9,"Swallow, Andrew",5,3,3,8,1,1.0,,,,,3.0,,2.0,,,5.0,3.0,,2.0,,,,81.0
12,"Thomas, Lindsay",10,2,7,17,1,,,7.0,,6.0,1.0,3.0,2.0,2.0,,6.0,12.0,,,1.0,3.0,,75.0
16,"Thompson, Scott",8,5,12,20,,,,2.0,7.0,,,,2.0,,,6.0,13.0,1.0,,3.0,1.0,,95.0
14,"Urquhart, Gavin",9,3,8,17,,,,4.0,2.0,2.0,,,,,,4.0,13.0,,,1.0,1.0,,89.0
35,"Warren, Ben",9,6,3,12,,,,1.0,,3.0,,3.0,1.0,1.0,,4.0,9.0,,,1.0,,,85.0
37,"Wright, Sam",6,,4,10,1,,,3.0,1.0,2.0,1.0,1.0,,,,3.0,7.0,,,1.0,,,51.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,163,81,159,322,7,7.0,43.0,62.0,37.0,41.0,30.0,54.0,17.0,23.0,,126.0,199.0,13.0,6.0,27.0,12.0,4.0,
Opposition,Opposition,231,119,237,468,18,11.0,41.0,61.0,32.0,63.0,34.0,51.0,23.0,17.0,6.0,134.0,331.0,8.0,18.0,44.0,26.0,14.0,
