Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
21,"Aleer, Leek",23y 297d,16 (8-0-8 50.00%),,←,
7,"Ash, Lachie",23y 358d,115 (59-1-55 51.74%),7 (0.06),←,
14,"Bedford, Toby",25y 18d,73 (47-0-26 64.38%),36 (0.49),55 (35-0-20 63.64%),27 (0.49)
46,"Brown, Callum",24y 303d,54 (30-0-24 55.56%),55 (1.02),←,
44,"Buckley, Jack",27y 179d,80 (44-1-35 55.63%),1 (0.01),←,
5,"Cadman, Aaron",21y 103d,49 (30-0-19 61.22%),57 (1.16),←,
17,"Callaghan, Finn",22y 49d,61 (33-0-28 54.10%),9 (0.15),←,
16,"Daniels, Brent",26y 97d,112 (64-0-48 57.14%),72 (0.64),←,
38,"Delana, Josaia",18y 348d,3 (2-0-1 66.67%),,←,
37,"Fonti, Joe",20y 172d,12 (9-0-3 75.00%),,←,
12,"Green, Tom",24y 142d,105 (52-1-52 50.00%),44 (0.42),←,
27,"Himmelberg, Harry",29y 37d,191 (105-2-84 55.50%),162 (0.85),←,
23,"Hogan, Jesse",30y 122d,176 (85-0-91 48.30%),389 (2.21),86 (44-0-42 51.16%),219 (2.55)
39,"Idun, Connor",24y 320d,107 (56-1-50 52.80%),,←,
2,"Jones, Darcy",21y 72d,27 (15-0-12 55.56%),23 (0.85),←,
22,"Kelly, Josh",30y 122d,225 (119-3-103 53.56%),140 (0.62),←,
41,"Madden, Nick",21y 28d,2 (1-0-1 50.00%),,←,
33,"OHalloran, Xavier",24y 338d,80 (41-1-38 51.88%),29 (0.36),←,
26,"Riccardi, Jake",25y 219d,79 (42-0-37 53.16%),100 (1.27),←,
24,"Rowston, Harry",20y 306d,9 (5-0-4 55.56%),1 (0.11),←,
15,"Taylor, Sam",26y 40d,125 (69-0-56 55.20%),2 (0.02),←,
1,"Thomas, Harvey",19y 310d,32 (19-0-13 59.38%),14 (0.44),←,
6,"Whitfield, Lachie",30y 331d,248 (125-4-119 51.21%),71 (0.29),←,
Totals,Totals,24y 187d,1981 (1060-14-907 53.51%),1212 (0.61),,
C,"Kingsley, Adam",49y 298d,65 (38-0-27 58.46%),,←,
