Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
24,"Adams, Marcus",27y 339d,48 (29-0-19 60.42%),4 (0.08),21 (15-0-6 71.43%),
4,"Ah Chee, Callum",23y 238d,75 (31-0-44 41.33%),30 (0.40),30 (23-0-7 76.67%),6 (0.20)
31,"Andrews, Harris",24y 175d,125 (47-0-78 37.60%),10 (0.08),←,
33,"Bailey, Zac",21y 254d,58 (36-0-22 62.07%),41 (0.71),←,
14,"Birchall, Grant",33y 127d,276 (189-1-86 68.66%),34 (0.12),28 (22-0-6 78.57%),
23,"Cameron, Charlie",26y 334d,139 (87-1-51 62.95%),214 (1.54),66 (40-0-26 60.61%),127 (1.92)
18,"Coleman, Keidean",21y 65d,12 (9-0-3 75.00%),7 (0.58),←,
3,"Daniher, Joe",27y 92d,120 (48-1-71 40.42%),210 (1.75),12 (8-0-4 66.67%),19 (1.58)
30,"Hipwood, Eric",23y 264d,106 (50-0-56 47.17%),160 (1.51),←,
35,"Lester, Ryan",28y 282d,151 (60-0-91 39.74%),45 (0.30),←,
17,"Lyons, Jarryd",28y 317d,147 (83-0-64 56.46%),73 (0.50),55 (39-0-16 70.91%),24 (0.44)
36,"Mathieson, Rhys",24y 145d,54 (22-0-32 40.74%),26 (0.48),←,
11,"McCarthy, Lincoln",27y 225d,82 (60-0-22 73.17%),73 (0.89),53 (37-0-16 69.81%),48 (0.91)
6,"McCluggage, Hugh",23y 93d,94 (47-0-47 50.00%),58 (0.62),←,
46,"McInerney, Oscar",26y 329d,67 (40-0-27 59.70%),34 (0.51),←,
25,"McStay, Daniel",25y 345d,128 (55-0-73 42.97%),96 (0.75),←,
9,"Neale, Lachie",28y 11d,185 (99-0-86 53.51%),96 (0.52),50 (34-0-16 68.00%),29 (0.58)
20,"Prior, Jaxon",20y,10 (8-0-2 80.00%),6 (0.60),←,
10,"Rich, Daniel",30y 362d,234 (93-1-140 39.96%),112 (0.48),←,
2,"Robertson, Deven",19y 339d,10 (7-0-3 70.00%),2 (0.20),←,
5,"Robinson, Mitch",31y 362d,222 (103-1-118 46.62%),117 (0.53),122 (52-0-70 42.62%),59 (0.48)
37,"Starcevich, Brandon",21y 315d,35 (24-0-11 68.57%),2 (0.06),←,
15,"Zorko, Dayne",32y 115d,197 (79-0-118 40.10%),201 (1.02),←,
Totals,Totals,26y 48d,2575 (1306-5-1264 50.72%),1651 (0.64),,
C,"Fagan, Chris",59y 346d,99 (49-0-50 49.49%),,←,
