Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 169d,33 (19-1-13 59.09%),37 (1.12),←,
10,"Ashcroft, Marcus",24y 321d,146 (49-2-95 34.25%),81 (0.55),←,
25,"Bews, Andrew",32y 23d,263 (138-2-123 52.85%),134 (0.51),56 (28-1-27 50.89%),2 (0.04)
36,"Bradshaw, Daniel",17y 264d,2 (2-0-0 100.00%),,←,
1,"Champion, Richard",28y 119d,113 (40-2-71 36.28%),34 (0.30),←,
16,"Clarke, Matthew",22y 328d,63 (32-1-30 51.59%),6 (0.10),←,
14,"Dickfos, Danny",25y 316d,16 (12-1-3 78.13%),,←,
6,"Fletcher, Adrian",26y 306d,125 (59-1-65 47.60%),66 (0.53),80 (34-1-45 43.13%),46 (0.57)
8,"Gowers, Andrew",27y 122d,123 (76-1-46 62.20%),58 (0.47),34 (17-1-16 51.47%),4 (0.12)
32,"Hart, Shaun",25y 86d,96 (33-1-62 34.90%),77 (0.80),←,
27,"Keating, Clark",20y 145d,13 (9-1-3 73.08%),5 (0.38),←,
44,"Lappin, Nigel",20y 51d,55 (28-1-26 51.82%),37 (0.67),←,
23,"Leppitsch, Justin",20y 315d,38 (18-1-19 48.68%),45 (1.18),←,
42,"Lynch, Tristan",22y 355d,15 (10-1-4 70.00%),1 (0.07),←,
2,"McAdam, Gilbert",29y 134d,108 (59-2-47 55.56%),87 (0.81),55 (29-1-25 53.64%),39 (0.71)
7,"McIvor, Scott",30y 2d,190 (69-1-120 36.58%),91 (0.48),135 (43-1-91 32.22%),76 (0.56)
19,"McLean, Michael",31y 161d,179 (73-2-104 41.34%),40 (0.22),84 (26-0-58 30.95%),17 (0.20)
28,"Robbins, Ben",19y 228d,3 (2-0-1 66.67%),1 (0.33),←,
38,"Scott, Dion",26y 132d,51 (24-0-27 47.06%),33 (0.65),45 (23-0-22 51.11%),33 (0.73)
3,"Voss, Michael",21y 35d,74 (34-1-39 46.62%),68 (0.92),←,
33,"White, Darryl",23y 60d,86 (36-2-48 43.02%),100 (1.16),←,
Totals,Totals,24y 210d,1792 (822-24-946 45.87%),1001 (0.56),,
C,"Northey, John",53y 43d,275 (141-3-131 51.82%),,19 (13-1-5 71.05%),
