Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",23y 285d,75 (46-0-29 61.33%),20 (0.27),←,
21,"Barry, Leo",29y 107d,193 (113-0-80 58.55%),50 (0.26),←,
6,"Bolton, Craig",26y 95d,124 (77-0-47 62.10%),20 (0.16),95 (60-0-35 63.16%),10 (0.11)
24,"Bolton, Jude",26y 172d,161 (89-1-71 55.59%),79 (0.49),←,
32,"Buchanan, Amon",23y 328d,69 (42-0-27 60.87%),34 (0.49),←,
2,"Davis, Nick",26y 157d,144 (74-0-70 51.39%),195 (1.35),73 (44-0-29 60.27%),110 (1.51)
26,"Dempster, Sean",22y 226d,37 (25-0-12 67.57%),4 (0.11),←,
15,"Doyle, Stephen",25y 52d,44 (27-1-16 62.50%),19 (0.43),←,
12,"Fosdike, Nic",26y 189d,137 (74-1-62 54.38%),60 (0.44),←,
37,"Goodes, Adam",26y 238d,183 (101-1-81 55.46%),188 (1.03),←,
1,"Hall, Barry",29y 207d,201 (101-2-98 50.75%),484 (2.41),113 (67-1-45 59.73%),340 (3.01)
16,"Jolly, Darren",24y 301d,94 (51-0-43 54.26%),23 (0.24),46 (31-0-15 67.39%),12 (0.26)
17,"Kennelly, Tadhg",25y 64d,120 (74-0-46 61.67%),28 (0.23),←,
31,"Kirk, Brett",29y 313d,145 (83-1-61 57.59%),58 (0.40),←,
9,"Malceski, Nick",22y 19d,19 (17-0-2 89.47%),9 (0.47),←,
4,"Mathews, Ben",27y 278d,170 (94-1-75 55.59%),35 (0.21),←,
3,"McVeigh, Jarrad",21y 149d,55 (34-0-21 61.82%),31 (0.56),←,
5,"OKeefe, Ryan",25y 222d,115 (69-0-46 60.00%),127 (1.10),←,
19,"OLoughlin, Michael",29y 195d,244 (141-2-101 58.20%),410 (1.68),←,
25,"Richards, Ted",23y 235d,53 (32-0-21 60.38%),23 (0.43),20 (13-0-7 65.00%),4 (0.20)
30,"Roberts-Thomson, Lewis",22y 360d,69 (45-0-24 65.22%),7 (0.10),←,
13,"Schneider, Adam",22y 114d,74 (46-0-28 62.16%),69 (0.93),←,
Totals,Totals,25y 196d,2526 (1455-10-1061 57.60%),1973 (0.78),,
C,"Roos, Paul",43y 68d,106 (67-0-39 63.21%),,←,
