Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
28,"Arnott, Simon",10,2,9,19,3,,,,,3.0,3.0,3.0,,1.0,,6.0,12.0,,1.0,,,,
22,"Bamford, Scott",6,3,3,9,,,,,,3.0,,3.0,,1.0,,1.0,8.0,,,1.0,1.0,,
6,"Barnes, John",5,3,3,8,1,,17.0,1.0,2.0,1.0,3.0,1.0,,1.0,,4.0,5.0,1.0,,3.0,,,
9,"Bizzell, Clint",8,3,4,12,,,4.0,1.0,3.0,2.0,1.0,1.0,1.0,,,6.0,6.0,1.0,,,,,
8,"Burns, Ronnie",13,6,6,19,2,2.0,,,2.0,6.0,,3.0,,1.0,,4.0,16.0,,1.0,5.0,1.0,,
7,"Graham, Ben",13,3,2,15,1,,1.0,1.0,4.0,3.0,3.0,4.0,2.0,1.0,,7.0,6.0,,1.0,1.0,,,
32,"Hocking, Garry",19,8,9,28,1,,,2.0,2.0,9.0,9.0,3.0,2.0,,2.0,10.0,18.0,2.0,2.0,3.0,1.0,,
13,"Kilpatrick, Glenn",17,4,7,24,1,1.0,,,,7.0,6.0,1.0,,,3.0,8.0,12.0,,,2.0,,,
1,"King, Steven",6,4,3,9,,1.0,4.0,,1.0,1.0,1.0,1.0,,3.0,,4.0,6.0,1.0,1.0,,,,
29,"Lowther, Daniel",5,2,2,7,,1.0,,,1.0,3.0,2.0,,,1.0,,3.0,5.0,1.0,,,1.0,,
44,"Lynch, Tristan",,,,,,,,,,,,,1.0,,,1.0,,,,,,,
21,"Mansfield, Michael",7,4,3,10,1,,,,,2.0,,1.0,,1.0,,5.0,5.0,1.0,1.0,,,,
17,"McGrath, Tim",12,4,2,14,1,,,,1.0,1.0,,3.0,2.0,,,4.0,11.0,,,1.0,,,
31,"Mensch, David",7,6,6,13,4,2.0,,2.0,,,3.0,,,,,6.0,6.0,3.0,2.0,2.0,,,
39,"Milburn, Darren",21,7,7,28,1,,4.0,1.0,3.0,5.0,6.0,,1.0,1.0,,11.0,15.0,3.0,1.0,4.0,2.0,,
16,"Mooney, Jason",7,1,2,9,3,,3.0,3.0,,2.0,,2.0,1.0,1.0,,5.0,3.0,1.0,1.0,4.0,,,
23,"Pickering, Liam",4,2,5,9,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,4.0,7.0,,1.0,2.0,,,
15,"Riccardi, Peter",9,2,7,16,,,,1.0,,6.0,3.0,1.0,1.0,,,11.0,6.0,1.0,,,,,
27,"Sanderson, Brenton",16,7,12,28,,,,,5.0,2.0,4.0,2.0,,1.0,,14.0,15.0,3.0,,3.0,,,
12,"Sholl, Brad",10,5,7,17,1,,,1.0,1.0,5.0,2.0,,2.0,,,7.0,9.0,1.0,,1.0,,,
4,"Snell, Jason",10,8,7,17,,,,2.0,3.0,2.0,,2.0,1.0,,,4.0,12.0,,,,4.0,,
26,"Stoneham, Barry",5,2,3,8,2,1.0,,2.0,1.0,,,,,,,6.0,2.0,1.0,2.0,1.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,86,109,319,22,9.0,34.0,17.0,30.0,64.0,48.0,32.0,14.0,14.0,5.0,131.0,185.0,20.0,14.0,33.0,10.0,,
Opposition,Opposition,206,72,84,290,21,9.0,32.0,15.0,39.0,55.0,36.0,22.0,14.0,14.0,1.0,141.0,144.0,21.0,14.0,16.0,16.0,,
