Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",16,1,9,25,2,,,2.0,,,,,1.0,3.0,,,,,,,,,
50,"Ballantyne, Jon",4,3,1,5,2,,,,,,,,,1.0,,,,,,,,,
35,"Baxter, Darren",17,9,6,23,,2.0,,,,,,,1.0,,,,,,,,,,
6,"Campbell, Tony",7,2,,7,,,,2.0,,,,,3.0,2.0,,,,,,,,,
1,"Charles, Justin",10,6,1,11,2,,,1.0,,,,,1.0,3.0,,,,,,,,,
20,"Coleman, Glenn",15,10,3,18,1,1.0,,,,,,,1.0,1.0,,,,,,,,,
11,"Corcoran, Shannon",11,4,7,18,,1.0,,,,,,,,2.0,,,,,,,,,
32,"Foster, Peter",11,4,4,15,,,,1.0,,,,,3.0,1.0,,,,,,,,,
29,"Grant, Chris",11,4,1,12,1,2.0,,2.0,,,,,3.0,2.0,2.0,,,,,,,,
7,"Hawkins, Doug",20,10,4,24,3,3.0,,2.0,,,,,4.0,,3.0,,,,,,,,
4,"Kellett, Nigel",14,3,1,15,1,,,1.0,,,,,,3.0,,,,,,,,,
21,"Kolyniuk, Steven",14,3,3,17,3,1.0,,,,,,,,2.0,1.0,,,,,,,,
39,"Liberatore, Tony",11,1,6,17,2,,,5.0,,,,,1.0,1.0,,,,,,,,,
27,"Macpherson, Stephen",15,5,8,23,,1.0,,,,,,,1.0,3.0,,,,,,,,,
34,"Sexton, Ben",1,2,2,3,,,,,,,,,,,,,,,,,,,
31,"Smith, Rohan",5,1,,5,,,,,,,,,2.0,,,,,,,,,,
17,"Standfield, Barry",9,4,2,11,,,1.0,3.0,,,,,1.0,3.0,,,,,,,,,
8,"Toohey, Bernard",10,4,7,17,,,,2.0,,,,,,1.0,,,,,,,,,
24,"Wallis, Stephen",10,6,5,15,,,,,,,,,1.0,1.0,,,,,,,,,
15,"Wynd, Scott",5,7,9,14,,,18.0,1.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,89,79,295,17,12.0,19.0,22.0,,,,,24.0,31.0,6.0,,,,,,,,
Opposition,Opposition,190,53,131,321,12,15.0,13.0,21.0,,,,,31.0,24.0,,,,,,,,,
