Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
50,"Brogan, Dean",34y 113d,185 (100-1-84 54.32%),51 (0.28),11 (1-0-10 9.09%),1 (0.09)
14,"Bugg, Tomas",20y 1d,20 (2-0-18 10.00%),6 (0.30),←,
18,"Cameron, Jeremy",20y 5d,18 (2-0-16 11.11%),33 (1.83),←,
3,"Coniglio, Stephen",19y 112d,14 (2-0-12 14.29%),3 (0.21),←,
1,"Davis, Phil",22y 219d,42 (13-0-29 30.95%),6 (0.14),24 (2-0-22 8.33%),5 (0.21)
26,"Giles, Jonathan",25y 88d,22 (2-0-20 9.09%),20 (0.91),←,
38,"Gilham, Stephen",28y 216d,101 (63-1-37 62.87%),4 (0.04),2 (0-0-2 0.00%),
4,"Greene, Toby",19y 193d,21 (2-0-19 9.52%),9 (0.43),←,
2,"Hampton, Curtly",20y 27d,19 (1-0-18 5.26%),6 (0.32),←,
33,"Hoskin-Elliott, Will",19y 216d,12 (1-0-11 8.33%),9 (0.75),←,
40,"Kennedy, Adam",20y 268d,17 (2-0-15 11.76%),,←,
39,"Mohr, Tim",24y 169d,15 (1-0-14 6.67%),1 (0.07),←,
7,"Palmer, Rhys",24y 52d,69 (22-0-47 31.88%),32 (0.46),16 (1-0-15 6.25%),9 (0.56)
12,"Patton, Jonathon",19y 321d,9 (1-0-8 11.11%),8 (0.89),←,
30,"Plowman, Lachie",18y 207d,2 (0-0-2 0.00%),,←,
9,"Scully, Tom",21y 326d,52 (15-1-36 29.81%),10 (0.19),21 (2-0-19 9.52%),4 (0.19)
5,"Shiel, Dylan",20y 28d,14 (1-0-13 7.14%),7 (0.50),←,
10,"Smith, Devon",19y 321d,22 (2-0-20 9.09%),12 (0.55),←,
28,"Sumner, Liam",19y 233d,4 (1-0-3 25.00%),4 (1.00),←,
17,"Treloar, Adam",20y 28d,20 (2-0-18 10.00%),14 (0.70),←,
8,"Ward, Callan",22y 361d,82 (34-0-48 41.46%),41 (0.50),22 (2-0-20 9.09%),8 (0.36)
6,"Whitfield, Lachie",18y 262d,2 (0-0-2 0.00%),1 (0.50),←,
Totals,Totals,21y 304d,762 (269-3-490 35.30%),277 (0.36),,
C,"Sheedy, Kevin",65y 103d,658 (388-6-264 59.42%),,24 (2-0-22 8.33%),
