St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Armitage, David",17,5,5,22,1,1.0,,10.0,,4.0,3.0,2.0,4.0,,3.0,10.0,12.0,,,1.0,,,70.0
14,"Ball, Luke",19,6,6,25,,2.0,,11.0,2.0,3.0,1.0,2.0,3.0,,1.0,7.0,18.0,,1.0,1.0,,1.0,73.0
17,"Begley, Colm",4,1,3,7,,,,3.0,3.0,,,2.0,2.0,2.0,,3.0,4.0,,,4.0,,,73.0
27,"Blake, Jason",14,8,10,24,,,,4.0,2.0,,2.0,2.0,,,,5.0,16.0,1.0,,12.0,1.0,,100.0
16,"Clarke, Raphael",8,3,9,17,,,,7.0,1.0,2.0,,1.0,,1.0,,7.0,10.0,,1.0,7.0,1.0,1.0,100.0
43,"Dawson, Zac",3,4,8,11,,,,1.0,,,,2.0,,1.0,,3.0,8.0,,,3.0,,,96.0
24,"Dempster, Sean",6,3,6,12,,,,6.0,,2.0,4.0,6.0,2.0,4.0,,6.0,5.0,,,1.0,,,84.0
40,"Eddy, Robert",9,2,2,11,,,,5.0,2.0,1.0,1.0,6.0,1.0,2.0,,4.0,7.0,,,1.0,,,76.0
15,"Gardiner, Michael",2,3,8,10,,,18.0,2.0,1.0,1.0,3.0,3.0,,2.0,,5.0,5.0,,,1.0,,,54.0
42,"Geary, Jarryn",14,3,1,15,,,,7.0,7.0,2.0,1.0,2.0,2.0,,,4.0,8.0,,,2.0,,,94.0
1,"Gram, Jason",14,6,7,21,,2.0,,4.0,6.0,5.0,2.0,3.0,,2.0,,7.0,14.0,1.0,,2.0,1.0,,89.0
33,"Gwilt, James",5,2,6,11,,,,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,4.0,8.0,,,1.0,,,85.0
8,"Hudghton, Max",8,5,9,17,,,,5.0,1.0,,,1.0,1.0,1.0,,8.0,9.0,1.0,,2.0,,,100.0
38,"Jones, Clinton",16,2,11,27,1,,,3.0,,6.0,6.0,3.0,2.0,1.0,,11.0,15.0,,,,2.0,,81.0
2,"King, Steven",5,3,2,7,,,18.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,,4.0,3.0,1.0,,1.0,,,50.0
23,"Koschitzke, Justin",5,4,4,9,,1.0,3.0,1.0,1.0,3.0,,3.0,,1.0,,6.0,3.0,1.0,,1.0,1.0,1.0,94.0
5,"McEvoy, Ben",9,6,4,13,1,1.0,2.0,2.0,,1.0,1.0,2.0,3.0,,,6.0,7.0,2.0,2.0,,,1.0,70.0
32,"McQualter, Andrew",6,7,5,11,,,,10.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,10.0,,,2.0,,,86.0
44,"Milne, Stephen",13,5,4,17,3,4.0,,5.0,1.0,,2.0,3.0,2.0,,2.0,10.0,8.0,2.0,4.0,1.0,2.0,,98.0
22,"Ray, Farren",14,8,7,21,,,,7.0,2.0,1.0,2.0,2.0,,,,5.0,16.0,,,1.0,,,83.0
13,"Schneider, Adam",14,8,5,19,3,,,10.0,3.0,3.0,1.0,4.0,1.0,2.0,,10.0,10.0,2.0,1.0,,,,74.0
34,"Steven, Jack",10,5,4,14,1,,,4.0,,3.0,,2.0,1.0,,,3.0,11.0,,,2.0,,,72.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,215,99,126,341,10,14.0,41.0,115.0,36.0,42.0,32.0,56.0,27.0,23.0,6.0,129.0,207.0,11.0,9.0,46.0,8.0,4.0,
Opposition,Opposition,169,95,214,383,7,7.0,52.0,68.0,27.0,43.0,32.0,49.0,23.0,27.0,,126.0,254.0,11.0,9.0,44.0,6.0,2.0,
