Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",20y 256d,52 (11-1-40 22.12%),28 (0.54),←,
1,"Champion, Richard",24y 54d,28 (4-1-23 16.07%),11 (0.39),←,
12,"Clarke, Troy",22y 365d,21 (3-1-17 16.67%),9 (0.43),←,
4,"Gastev, John",27y 301d,100 (33-1-66 33.50%),63 (0.63),70 (16-1-53 23.57%),32 (0.46)
34,"Green, Ashley",19y 62d,9 (2-1-6 27.78%),1 (0.11),←,
14,"Hamilton, Shane",21y 294d,47 (14-0-33 29.79%),57 (1.21),20 (2-0-18 10.00%),17 (0.85)
32,"Hart, Shaun",21y 21d,25 (6-1-18 26.00%),4 (0.16),←,
11,"Hutton, John",26y 12d,10 (2-1-7 25.00%),28 (2.80),←,
8,"Jeffrey, Russell",26y 122d,45 (17-0-28 37.78%),3 (0.07),3 (1-0-2 33.33%),
41,"Kennedy, Matthew",22y 124d,27 (4-0-23 14.81%),4 (0.15),←,
17,"Leslie, Martin",29y 203d,62 (13-1-48 21.77%),5 (0.08),←,
7,"McIvor, Scott",25y 303d,133 (48-0-85 36.09%),56 (0.42),78 (22-0-56 28.21%),41 (0.53)
40,"McLuckie, Steven",19y 116d,7 (2-1-4 35.71%),7 (1.00),←,
26,"Noonan, Danny",23y 191d,28 (4-1-23 16.07%),14 (0.50),←,
27,"Rendell, Matthew",33y 50d,166 (88-1-77 53.31%),102 (0.61),2 (1-0-1 50.00%),1 (0.50)
6,"Retzlaff, Brendon",23y 46d,6 (2-1-3 41.67%),,←,
13,"Shephard, Heath",22y 274d,15 (9-0-6 60.00%),17 (1.13),4 (1-0-3 25.00%),1 (0.25)
33,"White, Darryl",18y 361d,10 (2-1-7 25.00%),3 (0.30),←,
18,"Worsfold, Peter",21y 332d,18 (2-1-15 13.89%),16 (0.89),←,
21,"Zanotti, Mark",27y 212d,91 (27-0-64 29.67%),9 (0.10),55 (10-0-45 18.18%),3 (0.05)
Totals,Totals,23y 331d,900 (293-14-593 32.56%),437 (0.49),,
C,"Walls, Robert",41y 322d,232 (120-2-110 52.16%),,33 (5-1-27 16.67%),
