Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",22y 188d,23 (10-0-13 43.48%),1 (0.04),←,
26,"Bickley, Mark",29y 313d,175 (88-0-87 50.29%),56 (0.32),←,
18,"Bond, Troy",25y 334d,90 (55-0-35 61.11%),75 (0.83),54 (29-0-25 53.70%),49 (0.91)
24,"Burton, Brett",21y 40d,11 (4-0-7 36.36%),9 (0.82),←,
44,"Caven, Peter",29y 28d,130 (60-0-70 46.15%),53 (0.41),73 (39-0-34 53.42%),32 (0.44)
9,"Edwards, Tyson",22y 311d,72 (37-0-35 51.39%),34 (0.47),←,
13,"Ellen, Shane",26y 163d,57 (26-0-31 45.61%),16 (0.28),46 (21-0-25 45.65%),15 (0.33)
37,"Golding, Matthew",18y 165d,6 (2-0-4 33.33%),,←,
36,"Goodwin, Simon",22y 169d,39 (25-0-14 64.10%),12 (0.31),←,
34,"Hart, Ben",24y 339d,169 (85-1-83 50.59%),32 (0.19),←,
1,"Herbert, Lucas",21y 273d,6 (1-0-5 16.67%),1 (0.17),←,
47,"Howard, Dean",22y 319d,2 (0-0-2 0.00%),,←,
11,"James, Brett",26y 180d,93 (47-1-45 51.08%),45 (0.48),51 (30-0-21 58.82%),19 (0.37)
3,"Jarman, Darren",32y 136d,185 (108-0-77 58.38%),275 (1.49),76 (43-0-33 56.58%),153 (2.01)
28,"Johnson, Kane",21y 90d,47 (24-0-23 51.06%),13 (0.28),←,
5,"Koster, Kym",26y 132d,107 (62-1-44 58.41%),38 (0.36),69 (42-0-27 60.87%),25 (0.36)
23,"McLeod, Andrew",22y 313d,90 (47-0-43 52.22%),89 (0.99),←,
32,"Ricciuto, Mark",24y 5d,139 (66-1-72 47.84%),90 (0.65),←,
10,"Robran, Matthew",28y 86d,96 (54-0-42 56.25%),96 (1.00),89 (50-0-39 56.18%),91 (1.02)
7,"Smart, Nigel",30y 23d,177 (87-1-89 49.44%),89 (0.50),←,
19,"Stevens, Mark",23y 231d,52 (33-0-19 63.46%),39 (0.75),31 (17-0-14 54.84%),19 (0.61)
29,"Thiessen, James",25y 123d,41 (19-0-22 46.34%),17 (0.41),34 (19-0-15 55.88%),14 (0.41)
Totals,Totals,24y 346d,1807 (940-5-862 52.02%),1080 (0.60),,
C,"Blight, Malcolm",49y 117d,224 (132-0-92 58.93%),,63 (37-0-26 58.73%),
