West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
35,"Armstrong, Steven",24y 111d,69 (39-0-30 56.52%),43 (0.62),26 (17-0-9 65.38%),22 (0.85)
10,"Braun, Michael",30y 39d,217 (120-2-95 55.76%),64 (0.29),←,
20,"Cox, Dean",26y 275d,152 (85-1-66 56.25%),76 (0.50),←,
18,"Ebert, Brad",18y 30d,4 (0-0-4 0.00%),1 (0.25),←,
32,"Embley, Andrew",26y 310d,151 (84-1-66 55.96%),153 (1.01),←,
7,"Fletcher, Chad",28y 246d,162 (88-3-71 55.25%),72 (0.44),←,
23,"Glass, Darren",26y 354d,152 (84-2-66 55.92%),8 (0.05),←,
22,"Graham, Jaymie",25y 86d,34 (24-0-10 70.59%),13 (0.38),←,
38,"Jones, Brett",25y 270d,76 (49-0-27 64.47%),4 (0.05),←,
15,"Jones, Chad",23y 322d,13 (4-0-9 30.77%),9 (0.69),7 (2-0-5 28.57%),8 (1.14)
17,"Kennedy, Josh",20y 251d,24 (3-1-20 14.58%),14 (0.58),2 (0-0-2 0.00%),3 (1.50)
21,"Lynch, Quinten",25y 99d,113 (71-0-42 62.83%),180 (1.59),←,
13,"Masten, Chris",19y,5 (0-0-5 0.00%),,←,
27,"McKinley, Ben",21y 59d,6 (0-0-6 0.00%),15 (2.50),←,
12,"McNamara, Jamie",20y 57d,4 (1-0-3 25.00%),,←,
6,"Nicoski, Mark",24y 160d,55 (33-0-22 60.00%),18 (0.33),←,
24,"Rosa, Matt",21y 161d,45 (27-0-18 60.00%),14 (0.31),←,
31,"Schofield, Will",19y 99d,5 (3-0-2 60.00%),1 (0.20),←,
37,"Selwood, Adam",24y 1d,81 (51-0-30 62.96%),20 (0.25),←,
5,"Stenglein, Tyson",27y 291d,182 (108-0-74 59.34%),48 (0.26),76 (52-0-24 68.42%),22 (0.29)
8,"Waters, Beau",22y 33d,60 (40-0-20 66.67%),12 (0.20),←,
44,"Wirrpanda, David",28y 273d,198 (109-3-86 55.81%),103 (0.52),←,
Totals,Totals,24y 44d,1808 (1023-13-772 56.58%),868 (0.48),,
C,"Worsfold, John",39y 220d,151 (91-2-58 60.93%),,←,
