North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
15,"Abraham, Winston",23y 333d,60 (34-0-26 56.67%),92 (1.53),22 (16-0-6 72.73%),37 (1.68)
14,"Anderson, Brady",23y 77d,14 (10-0-4 71.43%),,←,
11,"Archer, Glenn",25y 157d,136 (86-0-50 63.24%),87 (0.64),←,
26,"Bell, Peter",22y 180d,72 (47-0-25 65.28%),65 (0.90),70 (47-0-23 67.14%),63 (0.90)
12,"Blakey, John",32y 35d,271 (139-0-132 51.29%),84 (0.31),136 (87-0-49 63.97%),46 (0.34)
16,"Capuano, Mathew",22y 360d,46 (34-0-12 73.91%),14 (0.30),←,
18,"Carey, Wayne",27y 93d,184 (112-0-72 60.87%),484 (2.63),←,
17,"Freeborn, Glenn",25y 203d,52 (36-0-16 69.23%),27 (0.52),←,
6,"Grant, Shannon",21y 131d,80 (48-1-31 60.63%),78 (0.98),22 (16-0-6 72.73%),40 (1.82)
29,"Harvey, Brent",20y 106d,38 (26-0-12 68.42%),41 (1.08),←,
21,"Hewitt, Evan",20y 52d,20 (13-0-7 65.00%),13 (0.65),←,
34,"King, David",26y 174d,108 (70-0-38 64.81%),35 (0.32),←,
5,"McCartney, Jason",24y 167d,94 (47-0-47 50.00%),49 (0.52),19 (13-0-6 68.42%),1 (0.05)
31,"McKernan, Corey",24y 252d,111 (76-0-35 68.47%),120 (1.08),←,
28,"Pickett, Byron",21y 17d,23 (16-0-7 69.57%),,←,
13,"Pike, Martin",25y 287d,100 (40-0-60 40.00%),52 (0.52),40 (28-0-12 70.00%),12 (0.30)
22,"Roberts, Mark",33y 61d,198 (103-0-95 52.02%),165 (0.83),121 (77-0-44 63.64%),146 (1.21)
3,"Rock, Anthony",27y 333d,175 (106-0-69 60.57%),138 (0.79),←,
8,"Scott, Robert",29y 180d,226 (138-1-87 61.28%),214 (0.95),94 (63-0-31 67.02%),50 (0.53)
24,"Sholl, Craig",30y 241d,197 (116-0-81 58.88%),119 (0.60),←,
37,"Simpson, Adam",22y 193d,62 (45-0-17 72.58%),27 (0.44),←,
10,"Stevens, Anthony",27y 57d,178 (108-0-70 60.67%),84 (0.47),←,
Totals,Totals,25y 134d,2445 (1450-2-993 59.30%),1988 (0.81),,
C,"Pagan, Denis",50y 338d,142 (92-0-50 64.79%),,←,
