Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Andrews, Harris",9.0,6.0,5.0,14,,,,3.0,5.0,,1.0,2.0,1.0,1.0,,10.0,3,3.0,,12.0,,,95.0
4,"Bastinac, Ryan",14.0,3.0,13.0,27,,,,12.0,2.0,2.0,7.0,3.0,,,,12.0,16,,,1.0,,,83.0
24,"Dawson, Liam",7.0,1.0,,7,,,,2.0,2.0,1.0,1.0,2.0,1.0,,,2.0,5,,,,,,81.0
27,"Gardiner, Darcy",8.0,2.0,3.0,11,,,,1.0,4.0,1.0,2.0,7.0,1.0,4.0,,6.0,5,1.0,,5.0,,,88.0
6,"Green, Josh",7.0,1.0,3.0,10,,,,2.0,,1.0,1.0,2.0,,1.0,,6.0,5,,,,,,83.0
40,"Hammelmann, Matthew",6.0,2.0,1.0,7,,,,3.0,,1.0,,1.0,1.0,,,2.0,5,,,8.0,,,93.0
11,"Hanley, Pearce",7.0,,7.0,14,,,3.0,6.0,2.0,4.0,2.0,3.0,1.0,2.0,,6.0,8,,,1.0,,1.0,77.0
30,"Hipwood, Eric",6.0,2.0,6.0,12,,1.0,,,,2.0,,3.0,4.0,,,9.0,3,2.0,,1.0,1.0,,86.0
1,"Keays, Ben",5.0,2.0,13.0,18,,,,5.0,3.0,,1.0,,1.0,,,11.0,8,2.0,,1.0,,,81.0
35,"Lester, Ryan",6.0,3.0,1.0,7,,,,5.0,,1.0,4.0,2.0,1.0,1.0,,5.0,2,1.0,,,,,80.0
36,"Mathieson, Rhys",7.0,1.0,13.0,20,2.0,,,2.0,1.0,1.0,2.0,3.0,3.0,2.0,,14.0,6,,,,,,76.0
32,"Mayes, Sam",9.0,2.0,2.0,11,,,,1.0,3.0,2.0,1.0,1.0,,,,2.0,7,,,4.0,,,81.0
21,"Merrett, Daniel",3.0,3.0,5.0,8,,,,,1.0,,,5.0,1.0,4.0,,7.0,3,,,9.0,,,89.0
10,"Rich, Daniel",12.0,1.0,7.0,19,1.0,,,3.0,6.0,3.0,,6.0,1.0,1.0,,3.0,14,,1.0,4.0,,,78.0
18,"Robertson, Nick",2.0,1.0,1.0,3,,,,,,2.0,,1.0,,1.0,,1.0,2,,,,,,76.0
5,"Robinson, Mitch",9.0,2.0,10.0,19,1.0,1.0,1.0,2.0,,4.0,6.0,6.0,2.0,3.0,,12.0,8,,1.0,2.0,,,81.0
38,"Rockliff, Tom",16.0,2.0,15.0,31,1.0,,,9.0,2.0,1.0,3.0,3.0,1.0,,,9.0,20,,,2.0,,1.0,72.0
23,"Schache, Josh",,,3.0,3,,,,1.0,,,,1.0,,,,1.0,2,,,1.0,,,76.0
44,"Smith, Archie",6.0,1.0,9.0,15,,,32.0,3.0,3.0,,3.0,1.0,1.0,,,9.0,5,1.0,,4.0,,,83.0
28,"Taylor, Lewis",3.0,1.0,7.0,10,1.0,,,2.0,,1.0,1.0,1.0,,,,3.0,7,,1.0,,1.0,,80.0
14,"Walker, Josh",2.0,1.0,2.0,4,,1.0,8.0,1.0,,,,1.0,,,,,4,,,,,,81.0
15,"Zorko, Dayne",5.0,1.0,9.0,14,,,,12.0,1.0,2.0,4.0,3.0,1.0,1.0,,11.0,5,,,,,,80.0
Totals,Totals,149.0,38.0,135.0,284,6.0,3.0,44.0,75.0,35.0,29.0,39.0,57.0,21.0,21.0,,141.0,143,10.0,3.0,55.0,2.0,2.0,
Opposition,Opposition,254.0,128.0,223.0,477,27.0,15.0,39.0,57.0,23.0,73.0,35.0,57.0,21.0,21.0,6.0,155.0,325,18.0,19.0,43.0,18.0,21.0,
