Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Caldwell, Jye",11,4,7,18,,,,5.0,1.0,4.0,,3.0,1.0,1.0,,4.0,14.0,,,2.0,,,81.0
12,"Cutler, Tom",10,6,4,14,,,,2.0,3.0,2.0,,4.0,1.0,2.0,,2.0,11.0,,,2.0,,,80.0
2,"Draper, Sam",6,4,5,11,2,,19.0,2.0,2.0,3.0,2.0,5.0,1.0,3.0,,7.0,4.0,3.0,1.0,3.0,,,70.0
22,"Durham, Sam",5,3,3,8,,,,2.0,1.0,,2.0,2.0,,1.0,,4.0,3.0,1.0,,1.0,,,82.0
35,"Guelfi, Matt",7,2,4,11,,1.0,,3.0,1.0,4.0,,4.0,2.0,2.0,,5.0,6.0,1.0,1.0,1.0,,1.0,77.0
21,"Heppell, Dyson",13,7,11,24,1,1.0,,2.0,3.0,2.0,2.0,4.0,,,,9.0,12.0,1.0,,2.0,,1.0,83.0
19,"Hind, Nick",15,4,7,22,,,,1.0,5.0,1.0,,1.0,,,,4.0,17.0,,,,3.0,1.0,86.0
8,"Hobbs, Ben",10,6,7,17,1,,,3.0,1.0,5.0,,3.0,2.0,1.0,,9.0,8.0,1.0,,,,1.0,77.0
23,"Jones, Harry",5,1,5,10,2,1.0,,2.0,,,,3.0,1.0,,,5.0,5.0,1.0,1.0,1.0,,,84.0
29,"Kelly, Jake",9,6,5,14,,,,2.0,6.0,1.0,,3.0,,1.0,,3.0,8.0,1.0,,,,,95.0
15,"Laverde, Jayden",7,3,3,10,,,,7.0,2.0,1.0,,3.0,,1.0,,3.0,7.0,,,1.0,,,84.0
37,"Martin, Nic",9,5,4,13,,,,5.0,2.0,5.0,,2.0,,1.0,,3.0,11.0,,,1.0,,,85.0
7,"Merrett, Zach",18,1,8,26,,1.0,,4.0,1.0,5.0,6.0,5.0,1.0,1.0,,9.0,17.0,,,2.0,,,82.0
3 ↓,"Parish, Darcy",5,,5,10,,,,1.0,1.0,2.0,5.0,,1.0,,,5.0,4.0,,,,,,55.0
16,"Perkins, Archie",11,3,7,18,,1.0,,4.0,,3.0,4.0,2.0,,1.0,,7.0,11.0,,,,,,81.0
34,"Phillips, Andrew",6,1,,6,,,24.0,9.0,2.0,2.0,3.0,6.0,1.0,2.0,,4.0,1.0,1.0,,3.0,,,72.0
27,"Redman, Mason",11,5,6,17,,1.0,,4.0,2.0,1.0,,3.0,,1.0,,6.0,10.0,1.0,1.0,2.0,1.0,,73.0
31,"Reid, Zach",2,,2,4,,,,2.0,1.0,,,,1.0,,,3.0,1.0,,,6.0,,,87.0
14,"Ridley, Jordan",11,6,3,14,,,,3.0,7.0,,,1.0,1.0,1.0,,4.0,7.0,1.0,,7.0,1.0,,94.0
9,"Shiel, Dylan",9,5,18,27,1,,,10.0,,1.0,8.0,2.0,2.0,1.0,,15.0,13.0,,,,1.0,,73.0
25,"Stringer, Jake",7,1,2,9,,1.0,,,1.0,2.0,,5.0,,3.0,,6.0,5.0,,1.0,2.0,,,78.0
45 ↑,"Waterman, Alec",,,4,4,,,,2.0,,,,1.0,,,,4.0,,,,,,,21.0
20,"Wright, Peter",9,7,4,13,,2.0,,,,2.0,,3.0,1.0,,,4.0,9.0,2.0,2.0,2.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,80,124,320,7,12.0,43.0,75.0,42.0,46.0,32.0,65.0,16.0,23.0,,125.0,184.0,14.0,7.0,38.0,6.0,4.0,
Opposition,Opposition,241,113,141,382,12,8.0,26.0,55.0,39.0,54.0,35.0,55.0,23.0,16.0,6.0,128.0,242.0,8.0,13.0,47.0,9.0,8.0,
