Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 195d,61 (25-2-34 42.62%),33 (0.54),←,
35,"Baxter, Darren",26y 109d,97 (43-3-51 45.88%),16 (0.16),←,
18,"Cameron, Leon",18y 307d,34 (17-1-16 51.47%),17 (0.50),←,
20,"Coleman, Glenn",30y 153d,159 (85-2-72 54.09%),88 (0.55),34 (17-1-16 51.47%),24 (0.71)
11,"Corcoran, Shannon",20y 134d,5 (2-0-3 40.00%),,←,
2,"Cousins, Richard",28y 358d,60 (27-1-32 45.83%),21 (0.35),←,
12,"Eppelstun, Greg",24y 232d,94 (46-2-46 50.00%),1 (0.01),←,
45,"Ford, Michael",28y 268d,94 (45-2-47 48.94%),19 (0.20),←,
32,"Foster, Peter",31y 34d,143 (74-3-66 52.80%),53 (0.37),136 (71-3-62 53.31%),51 (0.38)
29,"Grant, Chris",18y 205d,29 (14-1-14 50.00%),60 (2.07),←,
7,"Hawkins, Doug",31y 62d,258 (103-4-151 40.70%),156 (0.60),←,
43,"Hogg, Matthew",22y 197d,58 (24-2-32 43.10%),4 (0.07),←,
10,"Hunter, Mark",25y 306d,54 (22-2-30 42.59%),2 (0.04),←,
4,"Kellett, Nigel",21y 200d,13 (5-0-8 38.46%),2 (0.15),←,
8,"Kennedy, Rick",30y 207d,151 (64-2-85 43.05%),34 (0.23),←,
39,"Liberatore, Tony",25y 145d,52 (28-1-23 54.81%),33 (0.63),←,
14,"Reynolds, Keenan",22y 180d,23 (12-0-11 52.17%),1 (0.04),←,
33,"Royal, Brian",29y 206d,168 (87-2-79 52.38%),229 (1.36),←,
6,"Wigney, Stuart",22y 78d,46 (19-1-26 42.39%),21 (0.46),←,
15,"Wynd, Scott",21y 162d,50 (21-1-28 43.00%),8 (0.16),←,
Totals,Totals,25y 59d,1649 (763-32-854 46.27%),798 (0.48),,
C,"Wheeler, Terry",36y 115d,37 (18-1-18 50.00%),,←,
