Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",28y 271d,133 (89-2-42 67.67%),157 (1.18),←,
16,"Barnard, Paul",27y 174d,89 (60-0-29 67.42%),22 (0.25),78 (57-0-21 73.08%),18 (0.23)
8,"Bewick, Darren",32y 350d,235 (150-1-84 64.04%),329 (1.40),←,
32,"Blumfield, Justin",22y 255d,91 (62-0-29 68.13%),63 (0.69),←,
23,"Bolton, Mark",21y 124d,7 (4-0-3 57.14%),2 (0.29),←,
33,"Caracella, Blake",23y 143d,78 (54-0-24 69.23%),97 (1.24),←,
38,"Denham, Sean",31y 98d,186 (111-4-71 60.75%),65 (0.35),142 (87-4-51 62.68%),44 (0.31)
31,"Fletcher, Dustin",25y 90d,148 (101-3-44 69.26%),52 (0.35),←,
26,"Heffernan, Chris",21y 189d,55 (41-0-14 74.55%),20 (0.36),←,
14,"Johnson, Jason",22y 193d,37 (31-0-6 83.78%),15 (0.41),←,
1,"Johnson, Mark",22y 74d,36 (33-0-3 91.67%),7 (0.19),←,
18,"Lloyd, Matthew",22y 111d,103 (67-1-35 65.53%),339 (3.29),←,
13,"Long, Michael",30y 309d,180 (124-2-54 69.44%),139 (0.77),←,
25,"Lucas, Scott",22y 219d,89 (56-0-33 62.92%),144 (1.62),←,
10,"McVeigh, Mark",19y 192d,10 (8-0-2 80.00%),2 (0.20),←,
24,"Misiti, Joe",25y 270d,162 (103-4-55 64.81%),65 (0.40),←,
29,"Moorcroft, Gary",24y 111d,61 (43-0-18 70.49%),70 (1.15),←,
15,"Prior, Michael",26y 334d,81 (48-1-32 59.88%),19 (0.23),←,
9,"Ramanauskas, Adam",19y 260d,23 (21-0-2 91.30%),13 (0.57),←,
12,"Robran, Jonathon",27y 289d,79 (36-1-42 46.20%),6 (0.08),4 (3-0-1 75.00%),
7,"Solomon, Dean",20y 209d,48 (36-0-12 75.00%),13 (0.27),←,
6,"Wellman, Sean",25y 320d,132 (77-2-53 59.09%),18 (0.14),98 (64-1-33 65.82%),9 (0.09)
Totals,Totals,24y 291d,2063 (1355-21-687 65.68%),1657 (0.80),,
C,"Sheedy, Kevin",52y 225d,469 (303-5-161 65.14%),,←,
