Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",9,8,9,18,,,,2.0,6.0,,,3.0,1.0,1.0,,6.0,13.0,1.0,,10.0,1.0,,100.0
44,"Bock, Nathan",13,4,7,20,,,,1.0,2.0,6.0,1.0,5.0,5.0,3.0,,10.0,10.0,,,1.0,,,97.0
31,"Campbell, Bryce",4,2,2,6,,,1.0,2.0,,3.0,,1.0,,1.0,,2.0,4.0,,,2.0,,1.0,57.0
11,"Doughty, Michael",13,7,11,24,,,,4.0,2.0,2.0,,6.0,1.0,1.0,,5.0,20.0,,,3.0,,,100.0
26,"Douglas, Richard",4,4,6,10,,2.0,,2.0,,1.0,2.0,1.0,,1.0,,5.0,6.0,,1.0,2.0,1.0,,72.0
9,"Edwards, Tyson",16,6,6,22,2,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,9.0,12.0,1.0,,1.0,1.0,1.0,87.0
1,"Gill, Nick",12,6,6,18,1,3.0,,3.0,,6.0,1.0,7.0,3.0,1.0,,8.0,10.0,1.0,2.0,,1.0,,98.0
36,"Goodwin, Simon",7,4,3,10,,,,4.0,1.0,5.0,1.0,,1.0,,,2.0,8.0,,,,,,88.0
21,"Knights, Chris",4,,3,7,,,,2.0,1.0,2.0,,2.0,1.0,1.0,,2.0,7.0,,,,,,38.0
14,"Mackay, David",6,2,4,10,1,,,,,1.0,,1.0,1.0,,,3.0,7.0,,,2.0,1.0,,55.0
20,"Maric, Ivan",4,2,3,7,2,,29.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,,4.0,4.0,,1.0,,,1.0,86.0
3,"Massie, Kris",8,13,16,24,,,1.0,2.0,2.0,,1.0,1.0,,,,5.0,17.0,1.0,,4.0,1.0,,100.0
23,"McLeod, Andrew",18,4,4,22,,,,2.0,10.0,1.0,,,1.0,,,2.0,22.0,,,3.0,1.0,2.0,100.0
2,"Moran, Brad",12,7,5,17,4,1.0,9.0,1.0,,1.0,3.0,2.0,2.0,1.0,,8.0,9.0,2.0,4.0,1.0,,,75.0
40,"Porplyzia, Jason",6,2,1,7,1,1.0,,,,1.0,,,1.0,,,4.0,2.0,1.0,1.0,,,,38.0
25,"Rutten, Ben",7,5,8,15,,,,,1.0,1.0,,4.0,1.0,3.0,,6.0,9.0,1.0,,4.0,,,100.0
12,"Shirley, Robert",4,4,6,10,2,,1.0,4.0,1.0,1.0,,5.0,,3.0,,5.0,6.0,,1.0,,,,85.0
27,"Stevens, Scott",10,8,4,14,,,,,,4.0,,2.0,,1.0,,6.0,8.0,2.0,,4.0,,,100.0
15,"Symes, Brad",5,4,8,13,,1.0,,1.0,1.0,2.0,,2.0,1.0,2.0,,6.0,9.0,,1.0,3.0,1.0,,71.0
5,"Thompson, Scott",19,7,4,23,,1.0,,4.0,3.0,5.0,2.0,3.0,1.0,1.0,,8.0,13.0,1.0,1.0,,,2.0,84.0
7,"van Berlo, Nathan",20,7,20,40,,1.0,,5.0,3.0,8.0,9.0,2.0,4.0,,3.0,18.0,23.0,,,2.0,2.0,1.0,84.0
17,"Vince, Bernie",9,2,1,10,,2.0,,4.0,,2.0,,,1.0,,,5.0,7.0,,,,,1.0,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,108,137,347,13,16.0,42.0,50.0,37.0,55.0,24.0,52.0,28.0,23.0,5.0,129.0,226.0,11.0,12.0,42.0,10.0,9.0,
Opposition,Opposition,199,99,152,351,12,14.0,21.0,57.0,38.0,49.0,30.0,61.0,23.0,28.0,1.0,113.0,234.0,4.0,9.0,64.0,20.0,10.0,
