Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"AhMat, Robert",6,1,2,8,,,,1.0,,3.0,1.0,2.0,,1.0,,5.0,5.0,,,1.0,1.0,,
21,"Barry, Leo",7,4,5,12,2,,,1.0,,3.0,,1.0,,1.0,,5.0,8.0,3.0,2.0,1.0,,,
17,"Bomford, Andrew",13,6,12,25,1,,,1.0,3.0,4.0,5.0,2.0,2.0,2.0,,9.0,18.0,,,,,,
15,"Carey, Stefan",4,2,1,5,,,,,,1.0,2.0,2.0,,2.0,,3.0,2.0,1.0,,,,,
41,"Cook, Troy",1,1,2,3,,,,,,,1.0,,,,,1.0,2.0,,1.0,,,,
8,"Cresswell, Daryn",20,5,8,28,1,,,4.0,1.0,5.0,8.0,2.0,,,,13.0,16.0,,,1.0,,,
28,"Crouch, Jared",7,4,6,13,,,,3.0,4.0,3.0,2.0,,,,,6.0,9.0,,,,,,
6,"Dunkley, Andrew",7,2,,7,,,2.0,1.0,2.0,1.0,2.0,,2.0,,,4.0,3.0,1.0,,1.0,,,
10,"Filandia, Peter",5,2,5,10,1,,,1.0,,1.0,,2.0,2.0,,,9.0,3.0,1.0,2.0,1.0,,,
37,"Goodes, Adam",11,4,,11,1,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,4.0,5.0,2.0,1.0,2.0,,,
14,"Kelly, Paul",11,3,2,13,,4.0,,,,1.0,5.0,1.0,3.0,1.0,,11.0,3.0,1.0,3.0,,,,
4,"Lockett, Tony",6,4,1,7,3,1.0,,1.0,,,,1.0,,2.0,,3.0,3.0,3.0,4.0,1.0,,,
34,"Luff, Troy",5,1,3,8,,,,,1.0,1.0,,1.0,1.0,1.0,,4.0,4.0,,,,,,
11,"Maxfield, Stuart",12,1,1,13,,,,1.0,4.0,2.0,3.0,,3.0,3.0,,6.0,6.0,,,1.0,,,
13,"McPherson, Daniel",13,7,9,22,,4.0,,3.0,3.0,3.0,6.0,,1.0,1.0,,8.0,15.0,,1.0,,,,
23,"Nicks, Matthew",9,3,2,11,,,,1.0,3.0,1.0,,,1.0,2.0,,3.0,5.0,1.0,,2.0,,,
16,"OConnor, Ryan",,,1,1,,,2.0,,,1.0,,,,1.0,,1.0,,,,,,,
25,"Russell, Scott",13,2,3,16,2,,,,,5.0,3.0,2.0,2.0,1.0,,7.0,9.0,,,1.0,,,
22,"Saddington, Jason",10,4,3,13,,1.0,,2.0,2.0,4.0,1.0,1.0,4.0,1.0,,4.0,8.0,,,,,,
2,"Schwass, Wayne",13,2,6,19,,,,2.0,,10.0,,2.0,,3.0,,8.0,8.0,,,2.0,,,
1,"Stafford, Greg",8,4,10,18,1,,10.0,,3.0,3.0,6.0,,2.0,1.0,2.0,12.0,6.0,1.0,1.0,1.0,,,
33,"Warfe, Rowan",5,3,1,6,,,,1.0,4.0,,1.0,1.0,,,,4.0,2.0,2.0,,2.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,65,83,269,12,14.0,15.0,24.0,31.0,52.0,47.0,20.0,24.0,24.0,2.0,130.0,140.0,16.0,15.0,17.0,1.0,,
Opposition,Opposition,184,63,87,271,17,13.0,26.0,17.0,31.0,53.0,46.0,30.0,24.0,24.0,4.0,138.0,150.0,7.0,12.0,24.0,11.0,,
