Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
10,"Betheras, Rupert",26y 161d,58 (22-0-36 37.93%),17 (0.29),←,
5,"Buckley, Nathan",29y 281d,189 (71-2-116 38.10%),192 (1.02),169 (67-2-100 40.24%),171 (1.01)
17,"Burns, Scott",27y 131d,119 (46-1-72 39.08%),52 (0.44),←,
8,"Clement, James",25y 241d,110 (40-0-70 36.36%),46 (0.42),26 (14-0-12 53.85%),8 (0.31)
34,"Cloke, Jason",19y 362d,5 (4-0-1 80.00%),1 (0.20),←,
1,"Davis, Leon",20y 320d,39 (17-0-22 43.59%),36 (0.92),←,
19,"Davis, Nick",22y 34d,57 (22-0-35 38.60%),64 (1.12),←,
4,"Didak, Alan",19y 77d,8 (5-0-3 62.50%),5 (0.63),←,
25,"Fraser, Josh",20y 118d,48 (22-0-26 45.83%),29 (0.60),←,
9,"Freeborn, Glenn",29y 86d,118 (62-0-56 52.54%),61 (0.52),63 (24-0-39 38.10%),34 (0.54)
6,"Holland, Brodie",22y 120d,63 (23-0-40 36.51%),77 (1.22),27 (15-0-12 55.56%),40 (1.48)
26,"Johnson, Ben",21y 28d,34 (17-0-17 50.00%),10 (0.29),←,
18,"Licuria, Paul",24y 119d,73 (26-0-47 35.62%),16 (0.22),63 (24-0-39 38.10%),14 (0.22)
24,"Lockyer, Tarkyn",22y 185d,62 (25-0-37 40.32%),31 (0.50),←,
37,"Lonie, Ryan",19y 60d,26 (14-0-12 53.85%),13 (0.50),←,
27,"McGough, Mark",17y 315d,3 (3-0-0 100.00%),2 (0.67),←,
12,"McKee, Steven",23y 317d,44 (23-0-21 52.27%),7 (0.16),24 (13-0-11 54.17%),6 (0.25)
11,"OBree, Shane",23y 49d,64 (28-0-36 43.75%),19 (0.30),45 (19-0-26 42.22%),16 (0.36)
35,"Prestigiacomo, Simon",24y 92d,96 (35-0-61 36.46%),2 (0.02),←,
23,"Rocca, Anthony",24y 261d,124 (50-0-74 40.32%),179 (1.44),102 (39-0-63 38.24%),168 (1.65)
15,"Steinfort, Carl",25y 32d,87 (45-0-42 51.72%),24 (0.28),22 (12-0-10 54.55%),5 (0.23)
14,"Wakelin, Shane",27y 264d,121 (56-2-63 47.11%),19 (0.16),27 (15-0-12 55.56%),
Totals,Totals,23y 183d,1548 (656-5-887 42.38%),902 (0.58),,
C,"Malthouse, Mick",48y 259d,428 (245-4-179 57.71%),,50 (22-0-28 44.00%),
