Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",9,3,2,11,,,,2.0,3.0,3.0,,3.0,,1.0,,7.0,4.0,2.0,,3.0,8.0,,
12,"Blakey, John",10,3,2,12,,1.0,,1.0,2.0,3.0,5.0,1.0,,1.0,,4.0,8.0,,1.0,2.0,,,
22,"Burton, Matthew",4,2,2,6,2,,35.0,,,1.0,1.0,1.0,1.0,3.0,,3.0,2.0,2.0,2.0,4.0,,,
18,"Carey, Wayne",8,4,4,12,2,2.0,,1.0,,1.0,,1.0,,,,8.0,2.0,3.0,3.0,1.0,,,
23,"Clayton, Shane",9,2,1,10,2,,,3.0,,5.0,1.0,1.0,,,,2.0,8.0,,,1.0,,,
45,"Cochrane, Stuart",2,,3,5,1,,,3.0,,1.0,1.0,,,,,3.0,2.0,,,,,,
6,"Grant, Shannon",18,7,8,26,2,,,5.0,4.0,3.0,3.0,1.0,,,,8.0,18.0,1.0,1.0,3.0,,,
29,"Harvey, Brent",15,3,11,26,1,2.0,,1.0,1.0,3.0,5.0,,,,,6.0,20.0,,1.0,2.0,3.0,,
21,"Jones, Corey",8,3,1,9,,,3.0,1.0,2.0,2.0,2.0,,1.0,,,5.0,4.0,1.0,,1.0,,,
34,"King, David",11,,6,17,1,,,1.0,6.0,,1.0,2.0,1.0,1.0,,6.0,7.0,,,1.0,1.0,,
35,"Makepeace, Troy",8,4,4,12,,,,9.0,,2.0,2.0,1.0,,1.0,,6.0,6.0,1.0,,4.0,,,
5,"McCartney, Jason",6,3,2,8,,,,1.0,2.0,1.0,,2.0,1.0,,,1.0,5.0,1.0,,2.0,,,
31,"McKernan, Corey",7,4,6,13,,,3.0,1.0,1.0,3.0,,,1.0,,,9.0,4.0,3.0,,,,,
8,"McLaren, Joe",1,1,,1,,,,,1.0,1.0,,1.0,,,,,1.0,,,,2.0,,
44,"Motlop, Shannon",3,2,5,8,,,,2.0,2.0,,1.0,,1.0,,,2.0,5.0,,,3.0,4.0,,
20,"Petrie, Drew",3,1,,3,,,3.0,,,1.0,,,,,,1.0,2.0,1.0,,1.0,,,
28,"Pickett, Byron",7,2,2,9,,,,2.0,,5.0,2.0,2.0,,2.0,,6.0,3.0,,1.0,1.0,4.0,,
3,"Rawlings, Brady",3,1,8,11,1,,,3.0,,2.0,1.0,2.0,,,,7.0,4.0,,1.0,2.0,,,
26,"Rocca, Saverio",8,4,6,14,2,3.0,6.0,5.0,,2.0,1.0,1.0,2.0,,,8.0,6.0,3.0,3.0,3.0,,,
7,"Simpson, Adam",16,6,10,26,,,,2.0,1.0,5.0,10.0,,,1.0,,12.0,14.0,2.0,1.0,10.0,1.0,,
9,"Sinclair, Jess",13,3,7,20,1,,,8.0,3.0,4.0,4.0,2.0,,1.0,,8.0,10.0,,,2.0,3.0,,
40,"Teague, David",1,,2,3,,,,1.0,1.0,,,,,,,1.0,2.0,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,170,58,92,262,15,10.0,50.0,52.0,29.0,48.0,40.0,21.0,8.0,11.0,,113.0,137.0,20.0,14.0,46.0,26.0,,
Opposition,Opposition,208,80,93,301,25,12.0,37.0,27.0,28.0,58.0,48.0,11.0,11.0,8.0,6.0,128.0,164.0,18.0,17.0,31.0,4.0,,
